Tejas Document Number,Document Date,Annexure Number,Annexure Date,Serial Number,Item Description,Quantity,Carried Forward Balance,Balance From Previous Annexure,Job Worker DC Number,Date,Item Description,Board Quantity,Nature of Process Done,Per Board,Consumption,Total Consumption,Balance,Balance C/F to Annexure,Returned,Scrap
2014245061,11/26/2014,1126,11/26/2014,1,160-CDC000065-M,200,0,,101,08-Dec-14,170-PCA000084-E,40,ASSEMBLY,1,40,162,38,1137,0,0
,,,,,,,,,102,09-Dec-14,170-PCA000084-E,18,ASSEMBLY,1,18,,,,,
,,,,,,,,,104,10-Dec-14,170-PCA000084-E,33,ASSEMBLY,1,33,,,,,
,,,,,,,,,105,11-Dec-14,170-PCA000084-E,37,ASSEMBLY,1,37,,,,,
,,,,,,,,,111,19-Dec-14,170-PCA000084-E,34,ASSEMBLY,1,34,,,,,
2014245061,11/26/2014,1126,11/26/2014,2,170-CCA000022-M,173,0,,101,08-Dec-14,170-PCA000084-E,40,ASSEMBLY,1,40,162,2,1211,9,0
,,,,,,,,,102,09-Dec-14,170-PCA000084-E,18,ASSEMBLY,1,18,,,,,
,,,,,,,,,104,10-Dec-14,170-PCA000084-E,33,ASSEMBLY,1,33,,,,,
,,,,,,,,,105,11-Dec-14,170-PCA000084-E,37,ASSEMBLY,1,37,,,,,
,,,,,,,,,111,19-Dec-14,170-PCA000084-E,34,ASSEMBLY,1,34,,,,,
2014245061,11/26/2014,1126,11/26/2014,3,170-CGC000041-M,200,0,,101,08-Dec-14,170-PCA000084-E,40,ASSEMBLY,1,40,176,21,1221,3,0
,,,,,,,,,102,09-Dec-14,170-PCA000084-E,18,ASSEMBLY,1,18,,,,,
,,,,,,,,,104,10-Dec-14,170-PCA000084-E,33,ASSEMBLY,1,33,,,,,
,,,,,,,,,105,11-Dec-14,170-PCA000084-E,37,ASSEMBLY,1,37,,,,,
,,,,,,,,,111,19-Dec-14,170-PCA000084-E,34,ASSEMBLY,1,34,,,,,
,,,,,,,,,119,26-Dec-14,170-PCA000084-E,12,ASSEMBLY,1,12,,,,,
,,,,,,,,,125,31-Dec-14,170-PCA000084-E,2,ASSEMBLY,1,2,,,,,
2014245061,11/26/2014,1126,11/26/2014,4,170-PCC000043-E,177,0,,101,08-Dec-14,170-PCA000084-E,40,ASSEMBLY,1,40,176,1,1133,0,0
,,,,,,,,,102,09-Dec-14,170-PCA000084-E,18,ASSEMBLY,1,18,,,,,
,,,,,,,,,104,10-Dec-14,170-PCA000084-E,33,ASSEMBLY,1,33,,,,,
,,,,,,,,,105,11-Dec-14,170-PCA000084-E,37,ASSEMBLY,1,37,,,,,
,,,,,,,,,111,19-Dec-14,170-PCA000084-E,34,ASSEMBLY,1,34,,,,,
,,,,,,,,,119,26-Dec-14,170-PCA000084-E,12,ASSEMBLY,1,12,,,,,
,,,,,,,,,125,31-Dec-14,170-PCA000084-E,2,ASSEMBLY,1,2,,,,,
2014245061,11/26/2014,1126,11/26/2014,5,998-CFA000006-M,581,0,,101,08-Dec-14,170-PCA000084-E,40,ASSEMBLY,5,200,455,126,1169,0,0
,,,,,,,,,102,09-Dec-14,170-PCA000084-E,18,ASSEMBLY,5,90,,,,,
,,,,,,,,,104,10-Dec-14,170-PCA000084-E,33,ASSEMBLY,5,165,,,,,
2014245061,11/26/2014,1126,11/26/2014,6,999-ACC000066-E,1150,0,,101,08-Dec-14,170-PCA000084-E,40,ASSEMBLY,6,240,1092,12,1214,0,46
,,,,,,,,,102,09-Dec-14,170-PCA000084-E,18,ASSEMBLY,6,108,,,,,
,,,,,,,,,104,10-Dec-14,170-PCA000084-E,33,ASSEMBLY,6,198,,,,,
,,,,,,,,,105,11-Dec-14,170-PCA000084-E,37,ASSEMBLY,6,222,,,,,
,,,,,,,,,111,19-Dec-14,170-PCA000084-E,34,ASSEMBLY,6,204,,,,,
,,,,,,,,,119,26-Dec-14,170-PCA000084-E,12,ASSEMBLY,6,72,,,,,
,,,,,,,,,125,31-Dec-14,170-PCA000084-E,2,ASSEMBLY,6,12,,,,,
,,,,,,,,,202,18-Feb-15,115-PCA000037-E,3,ASSEMBLY,2,6,,,,,
,,,,,,,,,207,20-Feb-15,115-PCA000037-E,15,ASSEMBLY,2,30,,,,,
