Tejas Document Number,Document Date,Annexure Number,Annexure Date,Serial Number,Item Description,Quantity,Carried Forward Balance,Balance From Previous Annexure,Job Worker DC Number,Date,Item Description,Board Quantity,Nature of Process Done,Per Board,Consumption,Total Consumption,Balance,Balance C/F to Annexure,Returned,Scrap
2014266346,3/13/2015,1833,3/13/2015,1,999-ACC000138-E,1000,73,1597,86,10-Jun-15,170-PCA000003-E,50,ASSEMBLY,3,150,597,115,161,318,43
,,,,,,,,,90,11-Jun-15,104-PCA000001-E,8,ASSEMBLY,2,16,,,,,
,,,,,,,,,93,11-Jun-15,170-PCA000003-E,20,ASSEMBLY,3,60,,,,,
,,,,,,,,,96,13-Jun-15,170-PCA000003-E,35,ASSEMBLY,3,105,,,,,
,,,,,,,,,98,15-Jun-15,170-PCA000003-E,6,ASSEMBLY,3,18,,,,,
,,,,,,,,,101,16-Jun-15,170-PCA000003-E,5,ASSEMBLY,3,15,,,,,
,,,,,,,,,105,18-Jun-15,170-PCA000003-E,16,ASSEMBLY,3,48,,,,,
,,,,,,,,,111,23-Jun-15,170-PCA000003-E,9,ASSEMBLY,3,27,,,,,
,,,,,,,,,118,26-Jun-15,141-PCA000002-E,1,ASSEMBLY,1,1,,,,,
,,,,,,,,,117,26-Jun-15,170-PCA000003-E,10,ASSEMBLY,3,30,,,,,
,,,,,,,,,119,30-Jun-15,170-PCA000003-E,6,ASSEMBLY,3,18,,,,,
,,,,,,,,,126,02-Jul-15,170-PCA000003-E,5,ASSEMBLY,3,15,,,,,
,,,,,,,,,130,07-Jul-15,170-PCA000002-E,3,ASSEMBLY,1,3,,,,,
,,,,,,,,,127,07-Jul-15,170-PCA000003-E,3,ASSEMBLY,3,9,,,,,
,,,,,,,,,129,07-Jul-15,104-PCA000002-E,20,ASSEMBLY,1,20,,,,,
,,,,,,,,,133,09-Jul-15,140-SKU000004-P,3,ASSEMBLY,2,6,,,,,
,,,,,,,,,135,09-Jul-15,141-PCA000002-E,2,ASSEMBLY,1,2,,,,,
,,,,,,,,,132,09-Jul-15,170-PCA000002-E,3,ASSEMBLY,1,3,,,,,
,,,,,,,,,143,13-Jul-15,104-PCA000002-E,3,ASSEMBLY,1,3,,,,,
,,,,,,,,,151,20-Jul-15,104-PCA000002-E,2,ASSEMBLY,1,2,,,,,
,,,,,,,,,161,24-Jul-15,104-PCA000001-E,1,ASSEMBLY,2,2,,,,,
,,,,,,,,,155,24-Jul-15,140-SKU000004-P,2,ASSEMBLY,2,4,,,,,
,,,,,,,,,156,24-Jul-15,104-PCA000025-E,2,ASSEMBLY,2,4,,,,,
,,,,,,,,,178,05-Aug-15,140-SKU000004-P,1,ASSEMBLY,2,2,,,,,
,,,,,,,,,190,21-Sep-15,170-PCA000003-E,1,ASSEMBLY,3,3,,,,,
,,,,,,,,,193,21-Sep-15,104-PCA000025-E,1,ASSEMBLY,2,2,,,,,
,,,,,,,,,231,13-Jan-16,104-PCA000001-E,2,ASSEMBLY,2,4,,,,,
,,,,,,,,,229,13-Jan-16,170-PCA000256-E,4,ASSEMBLY,2,8,,,,,
,,,,,,,,,230,13-Jan-16,104-PCA000025-E,3,ASSEMBLY,2,6,,,,,
,,,,,,,,,240,19-Jan-16,141-PCA000002-E,3,ASSEMBLY,1,3,,,,,
,,,,,,,,,242,19-Jan-16,170-PCA000002-E,2,ASSEMBLY,1,2,,,,,
,,,,,,,,,236,19-Jan-16,170-PCA000003-E,2,ASSEMBLY,3,6,,,,,
2014266346,3/13/2015,1833,3/13/2015,2,999-ACC757504-E,150,38,1808,129,07-Jul-15,104-PCA000002-E,20,ASSEMBLY,2,40,116,64,142,0,8
,,,,,,,,,143,13-Jul-15,104-PCA000002-E,3,ASSEMBLY,2,6,,,,,
,,,,,,,,,146,15-Jul-15,115-PCA000037-E,6,ASSEMBLY,6,36,,,,,
,,,,,,,,,150,20-Jul-15,115-PCA000037-E,5,ASSEMBLY,6,30,,,,,
,,,,,,,,,151,20-Jul-15,104-PCA000002-E,2,ASSEMBLY,2,4,,,,,
2014266346,3/13/2015,1833,3/13/2015,3,999-AIC000044-E,1000,20,1808,111,23-Jun-15,170-PCA000003-E,9,ASSEMBLY,4,36,156,823,,0,41
,,,,,,,,,117,26-Jun-15,170-PCA000003-E,10,ASSEMBLY,4,40,,,,,
,,,,,,,,,119,30-Jun-15,170-PCA000003-E,6,ASSEMBLY,4,24,,,,,
,,,,,,,,,126,02-Jul-15,170-PCA000003-E,5,ASSEMBLY,4,20,,,,,
,,,,,,,,,127,07-Jul-15,170-PCA000003-E,3,ASSEMBLY,4,12,,,,,
,,,,,,,,,133,09-Jul-15,140-SKU000004-P,3,ASSEMBLY,2,6,,,,,
,,,,,,,,,155,24-Jul-15,140-SKU000004-P,2,ASSEMBLY,2,4,,,,,
,,,,,,,,,178,05-Aug-15,140-SKU000004-P,1,ASSEMBLY,2,2,,,,,
,,,,,,,,,190,21-Sep-15,170-PCA000003-E,1,ASSEMBLY,4,4,,,,,
,,,,,,,,,236,19-Jan-16,170-PCA000003-E,2,ASSEMBLY,4,8,,,,,
2014266346,3/13/2015,1833,3/13/2015,4,999-AYC395514-E,483,367,1580,,,,,,,,0,173,32,677,0
