Tejas Document Number,Document Date,Annexure Number,Annexure Date,Serial Number,Item Description,Quantity,Carried Forward Balance,Balance From Previous Annexure,Job Worker DC Number,Date,Item Description,Board Quantity,Nature of Process Done,Per Board,Consumption,Total Consumption,Balance,Balance C/F to Annexure,Returned,Scrap
2014244374,11/24/2014,1107,11/24/2014,1,170-CGC000051-M,86,0,,90,02-Dec-14,170-PCA000002-E,29,ASSEMBLY,1,29,64,19,1211,3,0
,,,,,,,,,117,24-Dec-14,170-PCA000002-E,35,ASSEMBLY,1,35,,,,,
2014244374,11/24/2014,1107,11/24/2014,2,998-BZA000857-X,172,2,1099,90,02-Dec-14,170-PCA000002-E,29,ASSEMBLY,6,174,174,0,1211,0,0
2014244374,11/24/2014,1107,11/24/2014,3,999-ACC000138-E,680,0,,90,02-Dec-14,170-PCA000002-E,29,ASSEMBLY,1,29,619,34,1137,0,27
,,,,,,,,,95,05-Dec-14,170-PCA000003-E,11,ASSEMBLY,3,33,,,,,
,,,,,,,,,97,06-Dec-14,170-PCA000003-E,24,ASSEMBLY,3,72,,,,,
,,,,,,,,,100,08-Dec-14,170-PCA000003-E,17,ASSEMBLY,3,51,,,,,
,,,,,,,,,102,09-Dec-14,170-PCA000003-E,6,ASSEMBLY,3,18,,,,,
,,,,,,,,,104,10-Dec-14,170-PCA000003-E,9,ASSEMBLY,3,27,,,,,
,,,,,,,,,107,15-Dec-14,170-PCA000003-E,58,ASSEMBLY,3,174,,,,,
,,,,,,,,,111,19-Dec-14,170-PCA000003-E,10,ASSEMBLY,3,30,,,,,
,,,,,,,,,111,19-Dec-14,170-PCA000256-E,43,ASSEMBLY,2,86,,,,,
,,,,,,,,,117,24-Dec-14,170-PCA000002-E,35,ASSEMBLY,1,35,,,,,
,,,,,,,,,117,24-Dec-14,170-PCA000256-E,17,ASSEMBLY,2,34,,,,,
,,,,,,,,,119,26-Dec-14,170-PCA000002-E,30,ASSEMBLY,1,30,,,,,
2014244374,11/24/2014,1107,11/24/2014,4,999-CAC000718-E,125,8,1099,119,26-Dec-14,170-PCA000002-E,30,ASSEMBLY,3,90,108,25,1339,0,0
,,,,,,,,,250,07-Mar-15,170-PCA000002-E,6,ASSEMBLY,3,18,,,,,
2014244374,11/24/2014,1107,11/24/2014,5,999-CLC000249-E,320,9,1099,97,06-Dec-14,170-PCA000003-E,24,ASSEMBLY,1,24,314,15,1140,0,0
,,,,,,,,,100,08-Dec-14,170-PCA000003-E,17,ASSEMBLY,1,17,,,,,
,,,,,,,,,102,09-Dec-14,170-PCA000003-E,6,ASSEMBLY,1,6,,,,,
,,,,,,,,,104,10-Dec-14,170-PCA000003-E,9,ASSEMBLY,1,9,,,,,
,,,,,,,,,107,15-Dec-14,170-PCA000003-E,58,ASSEMBLY,1,58,,,,,
,,,,,,,,,111,19-Dec-14,170-PCA000003-E,10,ASSEMBLY,1,10,,,,,
,,,,,,,,,111,19-Dec-14,170-PCA000256-E,43,ASSEMBLY,1,43,,,,,
,,,,,,,,,117,24-Dec-14,170-PCA000002-E,35,ASSEMBLY,2,70,,,,,
,,,,,,,,,117,24-Dec-14,170-PCA000256-E,17,ASSEMBLY,1,17,,,,,
,,,,,,,,,119,26-Dec-14,170-PCA000002-E,30,ASSEMBLY,2,60,,,,,


,,Total Quantity,1402
,,Total Consumption,1279
,,Total Scrap,27
,,Total Returned,3
,,Total Balance,93
