Tejas Document Number,Document Date,Annexure Number,Annexure Date,Serial Number,Item Description,Quantity,Carried Forward Balance,Balance From Previous Annexure,Job Worker DC Number,Date,Item Description,Board Quantity,Nature of Process Done,Per Board,Consumption,Total Consumption,Balance,Balance C/F to Annexure,Returned,Scrap
2014264314,3/6/2015,1782,3/6/2015,1,170-CDA000010-M,25,32,1594,278,17-Mar-15,170-PCA000002-E,41,ASSEMBLY,1,41,56,1,1907,0,0
,,,,,,,,,304,25-Mar-15,170-PCA000002-E,1,ASSEMBLY,1,1,,,,,
,,,,,,,,,353,30-Mar-15,170-PCA000002-E,14,ASSEMBLY,1,14,,,,,
2014264314,3/6/2015,1782,3/6/2015,2,170-CGC000051-M,25,37,1594,278,17-Mar-15,170-PCA000002-E,41,ASSEMBLY,1,41,56,6,1907,0,0
,,,,,,,,,304,25-Mar-15,170-PCA000002-E,1,ASSEMBLY,1,1,,,,,
,,,,,,,,,353,30-Mar-15,170-PCA000002-E,14,ASSEMBLY,1,14,,,,,
2014264314,3/6/2015,1782,3/6/2015,3,999-AIC000030-E,1500,34,1647,355,30-Mar-15,170-PCA000002-E,25,ASSEMBLY,2,50,1448,25,32,0,61
,,,,,,,,,356,30-Mar-15,170-PCA000003-E,16,ASSEMBLY,2,32,,,,,
,,,,,,,,,357,30-Mar-15,170-PCA000003-E,12,ASSEMBLY,2,24,,,,,
,,,,,,,,,358,30-Mar-15,170-PCA000003-E,20,ASSEMBLY,2,40,,,,,
,,,,,,,,,359,30-Mar-15,170-PCA000003-E,12,ASSEMBLY,2,24,,,,,
,,,,,,,,,332,30-Mar-15,104-PCA000003-E,1,ASSEMBLY,6,6,,,,,
,,,,,,,,,366,31-Mar-15,140-SKU000004-P,3,ASSEMBLY,2,6,,,,,
,,,,,,,,,367,31-Mar-15,140-SKU000004-P,3,ASSEMBLY,2,6,,,,,
,,,,,,,,,9,14-Apr-15,170-PCA000002-E,1,ASSEMBLY,2,2,,,,,
,,,,,,,,,8,14-Apr-15,104-PCA000003-E,3,ASSEMBLY,6,18,,,,,
,,,,,,,,,14,17-Apr-15,170-PCA000002-E,3,ASSEMBLY,2,6,,,,,
,,,,,,,,,20,21-Apr-15,170-PCA000002-E,1,ASSEMBLY,2,2,,,,,
,,,,,,,,,16,21-Apr-15,170-PCA000003-E,1,ASSEMBLY,2,2,,,,,
,,,,,,,,,18,21-Apr-15,104-PCA000003-E,11,ASSEMBLY,6,66,,,,,
,,,,,,,,,22,22-Apr-15,104-PCA000003-E,14,ASSEMBLY,6,84,,,,,
,,,,,,,,,27,24-Apr-15,170-PCA000002-E,5,ASSEMBLY,2,10,,,,,
,,,,,,,,,28,27-Apr-15,170-PCA000002-E,2,ASSEMBLY,2,4,,,,,
,,,,,,,,,32,07-May-15,140-SKU000004-P,3,ASSEMBLY,2,6,,,,,
,,,,,,,,,34,08-May-15,140-SKU000004-P,4,ASSEMBLY,2,8,,,,,
,,,,,,,,,35,11-May-15,140-SKU000004-P,1,ASSEMBLY,2,2,,,,,
,,,,,,,,,43,19-May-15,170-PCA000002-E,19,ASSEMBLY,2,38,,,,,
,,,,,,,,,48,22-May-15,170-PCA000002-E,45,ASSEMBLY,2,90,,,,,
,,,,,,,,,55,23-May-15,170-PCA000002-E,4,ASSEMBLY,2,8,,,,,
,,,,,,,,,58,25-May-15,170-PCA000002-E,25,ASSEMBLY,2,50,,,,,
,,,,,,,,,60,26-May-15,170-PCA000002-E,50,ASSEMBLY,2,100,,,,,
,,,,,,,,,63,27-May-15,170-PCA000002-E,4,ASSEMBLY,2,8,,,,,
,,,,,,,,,65,27-May-15,170-PCA000003-E,5,ASSEMBLY,2,10,,,,,
,,,,,,,,,72,31-May-15,170-PCA000002-E,4,ASSEMBLY,2,8,,,,,
,,,,,,,,,69,31-May-15,104-PCA000003-E,14,ASSEMBLY,6,84,,,,,
,,,,,,,,,69,31-May-15,104-PCA000003-E,11,ASSEMBLY,6,66,,,,,
,,,,,,,,,73,31-May-15,104-PCA000003-E,40,ASSEMBLY,6,240,,,,,
,,,,,,,,,74,02-Jun-15,104-PCA000003-E,15,ASSEMBLY,6,90,,,,,
,,,,,,,,,77,03-Jun-15,170-PCA000003-E,1,ASSEMBLY,2,2,,,,,
,,,,,,,,,80,03-Jun-15,104-PCA000003-E,35,ASSEMBLY,6,210,,,,,
,,,,,,,,,83,05-Jun-15,104-PCA000003-E,4,ASSEMBLY,6,24,,,,,
,,,,,,,,,84,06-Jun-15,170-PCA000003-E,11,ASSEMBLY,2,22,,,,,
2014264314,3/6/2015,1782,3/6/2015,4,999-CAC000053-E,25,104,1769,,,,,,,,0,129,22,0,0
2014264314,3/6/2015,1782,3/6/2015,5,999-CLC000126-E,291,0,1769,,,,,,,,0,6,,285,0


,,Total Quantity,2073
,,Total Consumption,1560
,,Total Scrap,61
,,Total Returned,285
,,Total Balance,167
