Tejas Document Number,Document Date,Annexure Number,Annexure Date,Serial Number,Item Description,Quantity,Carried Forward Balance,Balance From Previous Annexure,Job Worker DC Number,Date,Item Description,Board Quantity,Nature of Process Done,Per Board,Consumption,Total Consumption,Balance,Balance C/F to Annexure,Returned,Scrap
2014249255,12/19/2014,1249,12/19/2015,1,999-ACC000138-E,650,43,1248,234,03-Mar-15,104-PCA000001-E,80,ASSEMBLY,2,160,614,51,1597,0,28
,,,,,,,,,237,04-Mar-15,104-PCA000001-E,110,ASSEMBLY,2,220,,,,,
,,,,,,,,,241,05-Mar-15,104-PCA000001-E,117,ASSEMBLY,2,234,,,,,
2014249255,12/19/2014,1249,12/19/2015,2,999-ADC000026-E,100,4,1248,295,19-Mar-15,115-PCA000037-E,1,ASSEMBLY,6,6,102,2,1344,0,0
,,,,,,,,,309,26-Mar-15,115-PCA000037-E,11,ASSEMBLY,6,66,,,,,
,,,,,,,,,326,30-Mar-15,115-PCA000037-E,5,ASSEMBLY,6,30,,,,,
2014249313,12/19/2014,1249,12/19/2015,3,999-AIC000061-E,119,35,1239,214,24-Feb-15,115-PCA000037-E,13,ASSEMBLY,7,91,140,14,1470,0,0
,,,,,,,,,219,25-Feb-15,115-PCA000037-E,1,ASSEMBLY,7,7,,,,,
,,,,,,,,,248,07-Mar-15,115-PCA000037-E,1,ASSEMBLY,7,7,,,,,
,,,,,,,,,263,13-Mar-15,115-PCA000037-E,5,ASSEMBLY,7,35,,,,,
2014249255,12/19/2014,1249,12/19/2015,4,999-BEC000148-E,90,11,1248,356,30-Mar-15,170-PCA000003-E,16,ASSEMBLY,1,16,89,12,1529,0,0
,,,,,,,,,357,30-Mar-15,170-PCA000003-E,12,ASSEMBLY,1,12,,,,,
,,,,,,,,,358,30-Mar-15,170-PCA000003-E,20,ASSEMBLY,1,20,,,,,
,,,,,,,,,359,30-Mar-15,170-PCA000003-E,12,ASSEMBLY,1,12,,,,,
,,,,,,,,,11,16-Apr-15,141-PCA000002-E,1,ASSEMBLY,1,1,,,,,
,,,,,,,,,13,17-Apr-15,141-PCA000002-E,5,ASSEMBLY,1,5,,,,,
,,,,,,,,,16,21-Apr-15,170-PCA000003-E,1,ASSEMBLY,1,1,,,,,
,,,,,,,,,40,13-May-15,141-PCA000002-E,1,ASSEMBLY,1,1,,,,,
,,,,,,,,,50,22-May-15,141-PCA000002-E,4,ASSEMBLY,1,4,,,,,
,,,,,,,,,65,27-May-15,170-PCA000003-E,5,ASSEMBLY,1,5,,,,,
,,,,,,,,,77,03-Jun-15,170-PCA000003-E,1,ASSEMBLY,1,1,,,,,
,,,,,,,,,84,06-Jun-15,170-PCA000003-E,11,ASSEMBLY,1,11,,,,,
2014249255,12/19/2014,1249,12/19/2015,5,999-BEC000236-E,25,139,1248,,,,,,,,0,164,1740,0,0
2014249255,12/19/2014,1249,12/19/2015,6,999-BEC000289-E,120,20,1199,,,,,,,,0,140,1522,0,0
2014249255,12/19/2014,1249,12/19/2015,7,999-BVC000167-E,150,7,1248,84,06-Jun-15,170-PCA000003-E,14,ASSEMBLY,1,14,155,2,1769,0,0
,,,,,,,,,86,10-Jun-15,170-PCA000003-E,50,ASSEMBLY,1,50,,,,,
,,,,,,,,,93,11-Jun-15,170-PCA000003-E,20,ASSEMBLY,1,20,,,,,
,,,,,,,,,96,13-Jun-15,170-PCA000003-E,35,ASSEMBLY,1,35,,,,,
,,,,,,,,,98,15-Jun-15,170-PCA000003-E,6,ASSEMBLY,1,6,,,,,
,,,,,,,,,101,16-Jun-15,170-PCA000003-E,5,ASSEMBLY,1,5,,,,,
,,,,,,,,,105,18-Jun-15,170-PCA000003-E,16,ASSEMBLY,1,16,,,,,
,,,,,,,,,111,23-Jun-15,170-PCA000003-E,9,ASSEMBLY,1,9,,,,,
2014249255,12/19/2014,1249,12/19/2015,8,999-CAC000436-E,116,2,1248,65,27-May-15,170-PCA000003-E,5,ASSEMBLY,1,5,101,17,1751,0,0
,,,,,,,,,77,03-Jun-15,170-PCA000003-E,1,ASSEMBLY,1,1,,,,,
,,,,,,,,,84,06-Jun-15,170-PCA000003-E,11,ASSEMBLY,1,11,,,,,
,,,,,,,,,84,06-Jun-15,170-PCA000003-E,14,ASSEMBLY,1,14,,,,,
,,,,,,,,,86,10-Jun-15,170-PCA000003-E,50,ASSEMBLY,1,50,,,,,
,,,,,,,,,93,11-Jun-15,170-PCA000003-E,20,ASSEMBLY,1,20,,,,,
2014249255,12/19/2014,1249,12/19/2015,9,999-CIC000040-E,100,75,1240,,,,,,,,0,175,1470,0,0


,,Total Quantity,1806
,,Total Consumption,1201
,,Total Scrap,28
,,Total Returned,0
,,Total Balance,577
