Tejas Document Number,Document Date,Annexure Number,Annexure Date,Serial Number,Item Description,Quantity,Carried Forward Balance,Balance From Previous Annexure,Job Worker DC Number,Date,Item Description,Board Quantity,Nature of Process Done,Per Board,Consumption,Total Consumption,Balance,Balance C/F to Annexure,Returned,Scrap
2014250390,12/26/2014,1285,12/26/2015,1,110-CGC000037-M,20,7,1221,214,24-Feb-15,115-PCA000037-E,13,ASSEMBLY,1,13,27,0,1337,0,0
,,,,,,,,,219,25-Feb-15,115-PCA000037-E,1,ASSEMBLY,1,1,,,,,
,,,,,,,,,248,07-Mar-15,115-PCA000037-E,1,ASSEMBLY,1,1,,,,,
,,,,,,,,,263,13-Mar-15,115-PCA000037-E,5,ASSEMBLY,1,5,,,,,
,,,,,,,,,267,14-Mar-15,115-PCA000037-E,4,ASSEMBLY,1,4,,,,,
,,,,,,,,,279,17-Mar-15,115-PCA000037-E,3,ASSEMBLY,1,3,,,,,
2014250390,12/26/2014,1285,12/26/2015,2,170-CCA000033-M,6,1,1137,,,,,,,,0,0,31,7,0
2014250390,12/26/2014,1285,12/26/2015,3,170-CGC000098-M,40,6,1137,,,,,,,,0,0,,46,0
2014250390,12/26/2014,1285,12/26/2015,4,999-ACC000009-E,500,192,1147,196,13-Feb-15,115-PCA000039-E,50,ASSEMBLY,6,300,636,28,1345,0,28
,,,,,,,,,199,16-Feb-15,115-PCA000039-E,23,ASSEMBLY,6,138,,,,,
,,,,,,,,,249,07-Mar-15,130-PCA000207-E,2,ASSEMBLY,16,32,,,,,
,,,,,,,,,252,09-Mar-15,130-PCA000207-E,8,ASSEMBLY,16,128,,,,,
,,,,,,,,,260,13-Mar-15,115-PCA000039-E,1,ASSEMBLY,6,6,,,,,
,,,,,,,,,261,13-Mar-15,130-PCA000207-E,1,ASSEMBLY,16,16,,,,,
,,,,,,,,,284,18-Mar-15,130-PCA000207-E,1,ASSEMBLY,16,16,,,,,
2014250390,12/26/2014,1285,12/26/2015,5,999-AHC926001-E,200,5,1227,301,23-Mar-15,170-PCA000003-E,15,ASSEMBLY,2,30,178,27,1348,0,0
,,,,,,,,,303,25-Mar-15,170-PCA000003-E,6,ASSEMBLY,2,12,,,,,
,,,,,,,,,312,26-Mar-15,170-PCA000003-E,4,ASSEMBLY,2,8,,,,,
,,,,,,,,,310,26-Mar-15,104-PCA000004-E,7,ASSEMBLY,6,42,,,,,
,,,,,,,,,317,27-Mar-15,141-PCA000024-E,1,ASSEMBLY,2,2,,,,,
