Tejas Document Number,Document Date,Annexure Number,Annexure Date,Serial Number,Item Description,Quantity,Carried Forward Balance,Balance From Previous Annexure,Job Worker DC Number,Date,Item Description,Board Quantity,Nature of Process Done,Per Board,Consumption,Total Consumption,Balance,Balance C/F to Annexure,Returned,Scrap
2014248719,12/17/2014,1239,12/17/2015,1,999-ADC000038-E,300,24,1133,269,14-Mar-15,170-PCA000084-E,25,ASSEMBLY,1,25,321,3,1470,0,0
,,,,,,,,,271,15-Mar-15,170-PCA000084-E,40,ASSEMBLY,1,40,,,,,
,,,,,,,,,275,16-Mar-15,170-PCA000084-E,60,ASSEMBLY,1,60,,,,,
,,,,,,,,,277,17-Mar-15,170-PCA000084-E,48,ASSEMBLY,1,48,,,,,
,,,,,,,,,286,18-Mar-15,170-PCA000084-E,7,ASSEMBLY,1,7,,,,,
,,,,,,,,,293,18-Mar-15,170-PCA000084-E,7,ASSEMBLY,1,7,,,,,
,,,,,,,,,325,28-Mar-15,170-PCA000084-E,4,ASSEMBLY,1,4,,,,,
,,,,,,,,,331,30-Mar-15,170-PCA000084-E,1,ASSEMBLY,1,1,,,,,
,,,,,,,,,330,30-Mar-15,170-PCA000084-E,4,ASSEMBLY,1,4,,,,,
,,,,,,,,,360,30-Mar-15,170-PCA000084-E,8,ASSEMBLY,1,8,,,,,
,,,,,,,,,361,30-Mar-15,170-PCA000084-E,16,ASSEMBLY,1,16,,,,,
,,,,,,,,,362,30-Mar-15,170-PCA000084-E,20,ASSEMBLY,1,20,,,,,
,,,,,,,,,363,30-Mar-15,170-PCA000084-E,23,ASSEMBLY,1,23,,,,,
,,,,,,,,,364,30-Mar-15,170-PCA000084-E,20,ASSEMBLY,1,20,,,,,
,,,,,,,,,4,11-Apr-15,170-PCA000084-E,28,ASSEMBLY,1,28,,,,,
,,,,,,,,,4,13-Apr-15,170-PCA000084-E,7,ASSEMBLY,1,7,,,,,
,,,,,,,,,7,14-Apr-15,170-PCA000084-E,3,ASSEMBLY,1,3,,,,,
2014248719,12/17/2014,1239,12/17/2015,2,999-AIC000009-E,370,17,1147,150,10-Jan-15,103-PCA000027-E,58,ASSEMBLY,6,348,360,12,1553,0,15
,,,,,,,,,157,19-Jan-15,103-PCA000027-E,2,ASSEMBLY,6,12,,,,,
2014248719,12/17/2014,1239,12/17/2015,3,999-AIC000061-E,258,0,,202,18-Feb-15,115-PCA000037-E,3,ASSEMBLY,7,21,182,35,1249,41,0
,,,,,,,,,207,20-Feb-15,115-PCA000037-E,15,ASSEMBLY,7,105,,,,,
,,,,,,,,,213,23-Feb-15,115-PCA000037-E,8,ASSEMBLY,7,56,,,,,
2014248719,12/17/2014,1239,12/17/2015,4,999-AJC000002-E,20,33,1147,,,,,,,,0,53,1447,0,0
2014248719,12/17/2014,1239,12/17/2015,5,999-AJC000004-E,60,10,1199,150,10-Jan-15,103-PCA000027-E,58,ASSEMBLY,1,58,60,10,1447,0,0
,,,,,,,,,157,19-Jan-15,103-PCA000027-E,2,ASSEMBLY,1,2,,,,,
2014248719,12/17/2014,1239,12/17/2015,6,999-AJC000021-E,110,0,,202,18-Feb-15,115-PCA000037-E,3,ASSEMBLY,2,6,110,0,1344,0,0
,,,,,,,,,207,20-Feb-15,115-PCA000037-E,15,ASSEMBLY,2,30,,,,,
,,,,,,,,,213,23-Feb-15,115-PCA000037-E,8,ASSEMBLY,2,16,,,,,
,,,,,,,,,214,24-Feb-15,115-PCA000037-E,13,ASSEMBLY,2,26,,,,,
