Tejas Document Number,Document Date,Annexure Number,Annexure Date,Serial Number,Item Description,Quantity,Carried Forward Balance,Balance From Previous Annexure,Job Worker DC Number,Date,Item Description,Board Quantity,Nature of Process Done,Per Board,Consumption,Total Consumption,Balance,Balance C/F to Annexure,Returned,Scrap
2014256407,2/3/2015,1501,2/3/2015,1,140-PCC000001-E,22,0,,366,31-Mar-15,140-SKU000004-P,3,ASSEMBLY,1,3,20,0,,2,0
,,,,,,,,,367,31-Mar-15,140-SKU000004-P,3,ASSEMBLY,1,3,,,,,
,,,,,,,,,32,07-May-15,140-SKU000004-P,3,ASSEMBLY,1,3,,,,,
,,,,,,,,,34,08-May-15,140-SKU000004-P,4,ASSEMBLY,1,4,,,,,
,,,,,,,,,35,11-May-15,140-SKU000004-P,1,ASSEMBLY,1,1,,,,,
,,,,,,,,,133,09-Jul-15,140-SKU000004-P,3,ASSEMBLY,1,3,,,,,
,,,,,,,,,155,24-Jul-15,140-SKU000004-P,2,ASSEMBLY,1,2,,,,,
,,,,,,,,,178,05-Aug-15,140-SKU000004-P,1,ASSEMBLY,1,1,,,,,
2014256407,2/3/2015,1501,2/3/2015,2,140-PCC000002-E,20,0,,366,31-Mar-15,140-SKU000004-P,3,ASSEMBLY,1,3,20,0,,0,0
,,,,,,,,,367,31-Mar-15,140-SKU000004-P,3,ASSEMBLY,1,3,,,,,
,,,,,,,,,32,07-May-15,140-SKU000004-P,3,ASSEMBLY,1,3,,,,,
,,,,,,,,,34,08-May-15,140-SKU000004-P,4,ASSEMBLY,1,4,,,,,
,,,,,,,,,35,11-May-15,140-SKU000004-P,1,ASSEMBLY,1,1,,,,,
,,,,,,,,,133,09-Jul-15,140-SKU000004-P,3,ASSEMBLY,1,3,,,,,
,,,,,,,,,155,24-Jul-15,140-SKU000004-P,2,ASSEMBLY,1,2,,,,,
,,,,,,,,,178,05-Aug-15,140-SKU000004-P,1,ASSEMBLY,1,1,,,,,
2014256407,2/3/2015,1501,2/3/2015,3,999-ACC000100-E,32000,85,1482,60,26-May-15,170-PCA000002-E,50,ASSEMBLY,9,450,30674,128,1550,0,1283
,,,,,,,,,61,26-May-15,170-PCA000084-E,40,ASSEMBLY,12,480,,,,,
,,,,,,,,,62,26-May-15,170-PCA000084-E,10,ASSEMBLY,12,120,,,,,
,,,,,,,,,63,27-May-15,170-PCA000002-E,4,ASSEMBLY,9,36,,,,,
,,,,,,,,,65,27-May-15,170-PCA000003-E,5,ASSEMBLY,142,710,,,,,
,,,,,,,,,64,27-May-15,170-PCA000084-E,60,ASSEMBLY,12,720,,,,,
,,,,,,,,,68,29-May-15,103-PCA000027-E,50,ASSEMBLY,13,650,,,,,
,,,,,,,,,67,29-May-15,170-PCA000084-E,8,ASSEMBLY,12,96,,,,,
,,,,,,,,,67,29-May-15,170-PCA000084-E,27,ASSEMBLY,12,324,,,,,
,,,,,,,,,66,29-May-15,104-PCA000002-E,5,ASSEMBLY,13,65,,,,,
,,,,,,,,,66,29-May-15,104-PCA000002-E,15,ASSEMBLY,13,195,,,,,
,,,,,,,,,71,31-May-15,103-PCA000027-E,6,ASSEMBLY,13,78,,,,,
,,,,,,,,,72,31-May-15,170-PCA000002-E,4,ASSEMBLY,9,36,,,,,
,,,,,,,,,70,31-May-15,170-PCA000084-E,8,ASSEMBLY,12,96,,,,,
,,,,,,,,,75,02-Jun-15,170-PCA000084-E,17,ASSEMBLY,12,204,,,,,
,,,,,,,,,79,03-Jun-15,115-PCA000037-E,1,ASSEMBLY,52,52,,,,,
,,,,,,,,,77,03-Jun-15,170-PCA000003-E,1,ASSEMBLY,142,142,,,,,
,,,,,,,,,78,03-Jun-15,170-PCA000084-E,20,ASSEMBLY,12,240,,,,,
,,,,,,,,,81,05-Jun-15,115-PCA000037-E,6,ASSEMBLY,52,312,,,,,
,,,,,,,,,82,05-Jun-15,170-PCA000084-E,29,ASSEMBLY,12,348,,,,,
,,,,,,,,,84,06-Jun-15,170-PCA000003-E,11,ASSEMBLY,142,1562,,,,,
,,,,,,,,,84,06-Jun-15,170-PCA000003-E,14,ASSEMBLY,142,1988,,,,,
,,,,,,,,,86,10-Jun-15,170-PCA000003-E,50,ASSEMBLY,142,7100,,,,,
,,,,,,,,,92,11-Jun-15,115-PCA000037-E,3,ASSEMBLY,52,156,,,,,
,,,,,,,,,90,11-Jun-15,104-PCA000001-E,8,ASSEMBLY,12,96,,,,,
,,,,,,,,,93,11-Jun-15,170-PCA000003-E,20,ASSEMBLY,142,2840,,,,,
,,,,,,,,,95,13-Jun-15,115-PCA000037-E,8,ASSEMBLY,52,416,,,,,
,,,,,,,,,96,13-Jun-15,170-PCA000003-E,35,ASSEMBLY,142,4970,,,,,
,,,,,,,,,97,13-Jun-15,170-PCA000084-E,4,ASSEMBLY,12,48,,,,,
,,,,,,,,,98,15-Jun-15,170-PCA000003-E,6,ASSEMBLY,142,852,,,,,
,,,,,,,,,99,15-Jun-15,130-PCA000205-E,30,ASSEMBLY,33,990,,,,,
