Tejas Document Number,Document Date,Annexure Number,Annexure Date,Serial Number,Item Description,Quantity,Carried Forward Balance,Balance From Previous Annexure,Job Worker DC Number,Date,Item Description,Board Quantity,Nature of Process Done,Per Board,Consumption,Total Consumption,Balance,Balance C/F to Annexure,Returned,Scrap
2014248065,12/13/2014,1214,12/13/2015,1,998-BBC000004-E,122,0,,202,18-Feb-15,115-PCA000037-E,3,ASSEMBLY,2,6,112,10,1344,0,0
,,,,,,,,,207,20-Feb-15,115-PCA000037-E,15,ASSEMBLY,2,30,,,,,
,,,,,,,,,213,23-Feb-15,115-PCA000037-E,8,ASSEMBLY,2,16,,,,,
,,,,,,,,,214,24-Feb-15,115-PCA000037-E,13,ASSEMBLY,2,26,,,,,
,,,,,,,,,219,25-Feb-15,115-PCA000037-E,1,ASSEMBLY,2,2,,,,,
,,,,,,,,,248,07-Mar-15,115-PCA000037-E,1,ASSEMBLY,2,2,,,,,
,,,,,,,,,263,13-Mar-15,115-PCA000037-E,5,ASSEMBLY,2,10,,,,,
,,,,,,,,,267,14-Mar-15,115-PCA000037-E,4,ASSEMBLY,2,8,,,,,
,,,,,,,,,279,17-Mar-15,115-PCA000037-E,3,ASSEMBLY,2,6,,,,,
,,,,,,,,,280,17-Mar-15,115-PCA000037-E,1,ASSEMBLY,2,2,,,,,
,,,,,,,,,283,18-Mar-15,115-PCA000037-E,1,ASSEMBLY,2,2,,,,,
,,,,,,,,,295,19-Mar-15,115-PCA000037-E,1,ASSEMBLY,2,2,,,,,
2014248065,12/13/2014,1214,12/13/2015,2,999-ABC000001-E,1808,264,1203,189,09-Feb-15,141-PCA000002-E,40,ASSEMBLY,9,360,1317,755,1215,0,0
,,,,,,,,,192,11-Feb-15,115-PCA000007-E,21,ASSEMBLY,3,63,,,,,
,,,,,,,,,196,13-Feb-15,115-PCA000039-E,50,ASSEMBLY,11,550,,,,,
,,,,,,,,,199,16-Feb-15,115-PCA000007-E,18,ASSEMBLY,3,54,,,,,
,,,,,,,,,199,16-Feb-15,115-PCA000039-E,23,ASSEMBLY,11,253,,,,,
,,,,,,,,,199,16-Feb-15,141-PCA000002-E,1,ASSEMBLY,9,9,,,,,
,,,,,,,,,202,18-Feb-15,141-PCA000024-E,4,ASSEMBLY,7,28,,,,,
2014248065,12/13/2014,1214,12/13/2015,3,999-ABC000006-E,2055,308,1150,345,30-Mar-15,130-PCA000207-E,10,ASSEMBLY,52,520,2243,120,1215,0,0
,,,,,,,,,346,30-Mar-15,130-PCA000207-E,5,ASSEMBLY,52,260,,,,,
,,,,,,,,,329,30-Mar-15,141-PCA000024-E,4,ASSEMBLY,19,76,,,,,
,,,,,,,,,334,30-Mar-15,141-PCA000024-E,1,ASSEMBLY,19,19,,,,,
,,,,,,,,,336,30-Mar-15,141-PCA000024-E,5,ASSEMBLY,19,95,,,,,
,,,,,,,,,347,30-Mar-15,141-PCA000024-E,10,ASSEMBLY,19,190,,,,,
,,,,,,,,,348,30-Mar-15,141-PCA000024-E,7,ASSEMBLY,19,133,,,,,
,,,,,,,,,349,30-Mar-15,141-PCA000024-E,15,ASSEMBLY,19,285,,,,,
,,,,,,,,,350,30-Mar-15,141-PCA000024-E,15,ASSEMBLY,19,285,,,,,
,,,,,,,,,351,30-Mar-15,141-PCA000024-E,20,ASSEMBLY,19,380,,,,,
2014248065,12/13/2014,1214,12/13/2015,4,999-ABC000007-E,3000,82,1150,199,16-Feb-15,115-PCA000039-E,23,ASSEMBLY,34,782,2290,792,1215,0,0
,,,,,,,,,199,16-Feb-15,141-PCA000002-E,1,ASSEMBLY,4,4,,,,,
,,,,,,,,,202,18-Feb-15,141-PCA000024-E,4,ASSEMBLY,16,64,,,,,
,,,,,,,,,205,20-Feb-15,104-PCA000003-E,100,ASSEMBLY,6,600,,,,,
,,,,,,,,,210,21-Feb-15,104-PCA000003-E,140,ASSEMBLY,6,840,,,,,
2014248065,12/13/2014,1214,12/13/2015,5,999-ACC000010-E,2820,115,1147,349,30-Mar-15,141-PCA000024-E,15,ASSEMBLY,23,345,2729,89,1344,0,117
,,,,,,,,,350,30-Mar-15,141-PCA000024-E,15,ASSEMBLY,23,345,,,,,
,,,,,,,,,351,30-Mar-15,141-PCA000024-E,20,ASSEMBLY,23,460,,,,,
,,,,,,,,,352,30-Mar-15,141-PCA000024-E,20,ASSEMBLY,23,460,,,,,
,,,,,,,,,368,31-Mar-15,141-PCA000024-E,5,ASSEMBLY,23,115,,,,,
,,,,,,,,,33,08-May-15,160-PCA000049-L,6,ASSEMBLY,10,60,,,,,
,,,,,,,,,42,18-May-15,130-PCA000207-E,2,ASSEMBLY,47,94,,,,,
,,,,,,,,,45,19-May-15,130-PCA000207-E,1,ASSEMBLY,47,47,,,,,
,,,,,,,,,51,22-May-15,115-PCA000084-E,3,ASSEMBLY,8,24,,,,,
,,,,,,,,,49,22-May-15,130-PCA000207-E,1,ASSEMBLY,47,47,,,,,
,,,,,,,,,108,19-Jun-15,115-PCA000084-E,1,ASSEMBLY,8,8,,,,,
,,,,,,,,,159,24-Jul-15,115-PCA000084-E,1,ASSEMBLY,8,8,,,,,
,,,,,,,,,195,21-Sep-15,115-PCA000084-E,1,ASSEMBLY,8,8,,,,,
,,,,,,,,,196,21-Sep-15,130-PCA000207-E,1,ASSEMBLY,47,47,,,,,
,,,,,,,,,197,25-Sep-15,115-PCA000084-E,17,ASSEMBLY,8,136,,,,,
,,,,,,,,,198,25-Sep-15,130-PCA000207-E,1,ASSEMBLY,47,47,,,,,
,,,,,,,,,198,25-Sep-15,130-PCA000207-E,10,ASSEMBLY,47,470,,,,,
,,,,,,,,,235,19-Jan-16,115-PCA000084-E,1,ASSEMBLY,8,8,,,,,
2014248065,12/13/2014,1214,12/13/2015,6,999-ACC000018-E,288,0,,202,18-Feb-15,115-PCA000037-E,3,ASSEMBLY,3,9,264,12,1453,0,12
,,,,,,,,,207,20-Feb-15,115-PCA000037-E,15,ASSEMBLY,3,45,,,,,
,,,,,,,,,213,23-Feb-15,115-PCA000037-E,8,ASSEMBLY,3,24,,,,,
,,,,,,,,,214,24-Feb-15,115-PCA000037-E,13,ASSEMBLY,3,39,,,,,
,,,,,,,,,219,25-Feb-15,115-PCA000037-E,1,ASSEMBLY,3,3,,,,,
,,,,,,,,,248,07-Mar-15,115-PCA000037-E,1,ASSEMBLY,3,3,,,,,
,,,,,,,,,263,13-Mar-15,115-PCA000037-E,5,ASSEMBLY,3,15,,,,,
,,,,,,,,,267,14-Mar-15,115-PCA000037-E,4,ASSEMBLY,3,12,,,,,
,,,,,,,,,279,17-Mar-15,115-PCA000037-E,3,ASSEMBLY,3,9,,,,,
,,,,,,,,,280,17-Mar-15,115-PCA000037-E,1,ASSEMBLY,3,3,,,,,
,,,,,,,,,283,18-Mar-15,115-PCA000037-E,1,ASSEMBLY,3,3,,,,,
,,,,,,,,,295,19-Mar-15,115-PCA000037-E,1,ASSEMBLY,3,3,,,,,
,,,,,,,,,309,26-Mar-15,115-PCA000037-E,11,ASSEMBLY,3,33,,,,,
,,,,,,,,,326,30-Mar-15,115-PCA000037-E,5,ASSEMBLY,3,15,,,,,
,,,,,,,,,337,30-Mar-15,115-PCA000037-E,15,ASSEMBLY,3,45,,,,,
,,,,,,,,,79,03-Jun-15,115-PCA000037-E,1,ASSEMBLY,3,3,,,,,
2014248065,12/13/2014,1214,12/13/2015,7,999-ACC000021-E,351,0,,202,18-Feb-15,115-PCA000037-E,3,ASSEMBLY,2,6,250,0,,60,41
,,,,,,,,,207,20-Feb-15,115-PCA000037-E,15,ASSEMBLY,2,30,,,,,
,,,,,,,,,213,23-Feb-15,115-PCA000037-E,8,ASSEMBLY,2,16,,,,,
,,,,,,,,,214,24-Feb-15,115-PCA000037-E,13,ASSEMBLY,2,26,,,,,
,,,,,,,,,219,25-Feb-15,115-PCA000037-E,1,ASSEMBLY,2,2,,,,,
,,,,,,,,,248,07-Mar-15,115-PCA000037-E,1,ASSEMBLY,2,2,,,,,
,,,,,,,,,263,13-Mar-15,115-PCA000037-E,5,ASSEMBLY,2,10,,,,,
,,,,,,,,,267,14-Mar-15,115-PCA000037-E,4,ASSEMBLY,2,8,,,,,
,,,,,,,,,279,17-Mar-15,115-PCA000037-E,3,ASSEMBLY,2,6,,,,,
,,,,,,,,,280,17-Mar-15,115-PCA000037-E,1,ASSEMBLY,2,2,,,,,
,,,,,,,,,283,18-Mar-15,115-PCA000037-E,1,ASSEMBLY,2,2,,,,,
,,,,,,,,,295,19-Mar-15,115-PCA000037-E,1,ASSEMBLY,2,2,,,,,
,,,,,,,,,309,26-Mar-15,115-PCA000037-E,11,ASSEMBLY,2,22,,,,,
,,,,,,,,,326,30-Mar-15,115-PCA000037-E,5,ASSEMBLY,2,10,,,,,
,,,,,,,,,337,30-Mar-15,115-PCA000037-E,15,ASSEMBLY,2,30,,,,,
,,,,,,,,,79,03-Jun-15,115-PCA000037-E,1,ASSEMBLY,2,2,,,,,
,,,,,,,,,81,05-Jun-15,115-PCA000037-E,6,ASSEMBLY,2,12,,,,,
,,,,,,,,,92,11-Jun-15,115-PCA000037-E,3,ASSEMBLY,2,6,,,,,
,,,,,,,,,95,13-Jun-15,115-PCA000037-E,8,ASSEMBLY,2,16,,,,,
,,,,,,,,,109,19-Jun-15,115-PCA000037-E,1,ASSEMBLY,2,2,,,,,
,,,,,,,,,120,30-Jun-15,115-PCA000037-E,5,ASSEMBLY,2,10,,,,,
,,,,,,,,,125,02-Jul-15,115-PCA000037-E,3,ASSEMBLY,2,6,,,,,
,,,,,,,,,146,15-Jul-15,115-PCA000037-E,6,ASSEMBLY,2,12,,,,,
,,,,,,,,,150,20-Jul-15,115-PCA000037-E,5,ASSEMBLY,2,10,,,,,
2014248065,12/13/2014,1214,12/13/2015,8,999-ACC000023-E,662,25,1147,202,18-Feb-15,141-PCA000024-E,4,ASSEMBLY,18,72,72,588,1215,0,27
2014248065,12/13/2014,1214,12/13/2015,9,999-ACC000045-E,260,202,1199,,,,,,,,0,30,1550,432,0
2014248065,12/13/2014,1214,12/13/2015,10,999-ACC000048-E,770,162,1155,172,27-Jan-15,141-PCA000002-E,100,ASSEMBLY,4,400,640,255,1243,0,37
,,,,,,,,,174,28-Jan-15,141-PCA000002-E,60,ASSEMBLY,4,240,,,,,
2014248065,12/13/2014,1214,12/13/2015,11,999-ACC000051-E,102,9,1202,352,30-Mar-15,141-PCA000024-E,20,ASSEMBLY,1,20,106,1,1550,0,4
,,,,,,,,,368,31-Mar-15,141-PCA000024-E,5,ASSEMBLY,1,5,,,,,
,,,,,,,,,33,08-May-15,160-PCA000049-L,6,ASSEMBLY,2,12,,,,,
,,,,,,,,,51,22-May-15,115-PCA000084-E,3,ASSEMBLY,3,9,,,,,
,,,,,,,,,108,19-Jun-15,115-PCA000084-E,1,ASSEMBLY,3,3,,,,,
,,,,,,,,,159,24-Jul-15,115-PCA000084-E,1,ASSEMBLY,3,3,,,,,
,,,,,,,,,195,21-Sep-15,115-PCA000084-E,1,ASSEMBLY,3,3,,,,,
,,,,,,,,,197,25-Sep-15,115-PCA000084-E,17,ASSEMBLY,3,51,,,,,
2014248065,12/13/2014,1214,12/13/2015,12,999-ACC000052-E,63895,1481,1147,345,30-Mar-15,130-PCA000207-E,10,ASSEMBLY,897,8970,56883,5878,1215,0,2615
,,,,,,,,,346,30-Mar-15,130-PCA000207-E,5,ASSEMBLY,897,4485,,,,,
,,,,,,,,,329,30-Mar-15,141-PCA000024-E,4,ASSEMBLY,564,2256,,,,,
,,,,,,,,,334,30-Mar-15,141-PCA000024-E,1,ASSEMBLY,564,564,,,,,
,,,,,,,,,336,30-Mar-15,141-PCA000024-E,5,ASSEMBLY,564,2820,,,,,
,,,,,,,,,347,30-Mar-15,141-PCA000024-E,10,ASSEMBLY,564,5640,,,,,
,,,,,,,,,348,30-Mar-15,141-PCA000024-E,7,ASSEMBLY,564,3948,,,,,
,,,,,,,,,349,30-Mar-15,141-PCA000024-E,15,ASSEMBLY,564,8460,,,,,
,,,,,,,,,350,30-Mar-15,141-PCA000024-E,15,ASSEMBLY,564,8460,,,,,
,,,,,,,,,351,30-Mar-15,141-PCA000024-E,20,ASSEMBLY,564,11280,,,,,
2014248065,12/13/2014,1214,12/13/2015,13,999-ACC000061-E,290,139,1137,214,24-Feb-15,115-PCA000037-E,13,ASSEMBLY,16,208,334,78,1215,0,17
,,,,,,,,,219,25-Feb-15,115-PCA000037-E,1,ASSEMBLY,16,16,,,,,
,,,,,,,,,223,26-Feb-15,104-PCA000001-E,50,ASSEMBLY,1,50,,,,,
,,,,,,,,,232,02-Mar-15,104-PCA000001-E,60,ASSEMBLY,1,60,,,,,
2014248065,12/13/2014,1214,12/13/2015,14,999-ACC000066-E,450,12,1126,213,23-Feb-15,115-PCA000037-E,8,ASSEMBLY,2,16,214,230,1215,0,18
,,,,,,,,,214,24-Feb-15,115-PCA000037-E,13,ASSEMBLY,2,26,,,,,
,,,,,,,,,219,25-Feb-15,115-PCA000037-E,1,ASSEMBLY,2,2,,,,,
,,,,,,,,,248,07-Mar-15,115-PCA000037-E,1,ASSEMBLY,2,2,,,,,
,,,,,,,,,263,13-Mar-15,115-PCA000037-E,5,ASSEMBLY,2,10,,,,,
,,,,,,,,,267,14-Mar-15,115-PCA000037-E,4,ASSEMBLY,2,8,,,,,
,,,,,,,,,269,14-Mar-15,170-PCA000084-E,25,ASSEMBLY,6,150,,,,,
2014248065,12/13/2014,1214,12/13/2015,15,999-ACC000073-E,387,1,1202,,,,,,,,0,388,1215,0,0
2014248065,12/13/2014,1214,12/13/2015,16,999-ACC000081-E,5650,832,1203,,,,,,,,0,6482,1215,0,0
2014248065,12/13/2014,1214,12/13/2015,17,999-ACC000092-E,400,14,1203,222,26-Feb-15,104-PCA000004-E,20,ASSEMBLY,8,160,360,37,1559,0,17
,,,,,,,,,224,27-Feb-15,104-PCA000004-E,18,ASSEMBLY,8,144,,,,,
,,,,,,,,,227,27-Feb-15,104-PCA000004-E,7,ASSEMBLY,8,56,,,,,
2014248065,12/13/2014,1214,12/13/2015,18,999-ACC000116-E,114,4,1117,301,23-Mar-15,170-PCA000003-E,15,ASSEMBLY,2,30,106,7,1523,0,5
,,,,,,,,,303,25-Mar-15,170-PCA000003-E,6,ASSEMBLY,2,12,,,,,
,,,,,,,,,312,26-Mar-15,170-PCA000003-E,4,ASSEMBLY,2,8,,,,,
,,,,,,,,,356,30-Mar-15,170-PCA000003-E,16,ASSEMBLY,2,32,,,,,
,,,,,,,,,357,30-Mar-15,170-PCA000003-E,12,ASSEMBLY,2,24,,,,,
2014248065,12/13/2014,1214,12/13/2015,19,999-ACC000120-E,200,6,1099,,,,,,,,0,117,1215,89,0
2014248065,12/13/2014,1214,12/13/2015,20,999-ACC000135-E,350,78,1133,271,15-Mar-15,170-PCA000084-E,40,ASSEMBLY,2,80,390,21,1243,0,17
,,,,,,,,,275,16-Mar-15,170-PCA000084-E,60,ASSEMBLY,2,120,,,,,
,,,,,,,,,277,17-Mar-15,170-PCA000084-E,48,ASSEMBLY,2,96,,,,,
,,,,,,,,,286,18-Mar-15,170-PCA000084-E,7,ASSEMBLY,2,14,,,,,
,,,,,,,,,293,18-Mar-15,170-PCA000084-E,7,ASSEMBLY,2,14,,,,,
,,,,,,,,,325,28-Mar-15,170-PCA000084-E,4,ASSEMBLY,2,8,,,,,
,,,,,,,,,331,30-Mar-15,170-PCA000084-E,1,ASSEMBLY,2,2,,,,,
,,,,,,,,,330,30-Mar-15,170-PCA000084-E,4,ASSEMBLY,2,8,,,,,
,,,,,,,,,360,30-Mar-15,170-PCA000084-E,8,ASSEMBLY,2,16,,,,,
,,,,,,,,,361,30-Mar-15,170-PCA000084-E,16,ASSEMBLY,2,32,,,,,
2014248065,12/13/2014,1214,12/13/2015,21,999-ACC000174-E,125,54,1147,,,,,,,,0,9,1580,170,0
