Tejas Document Number,Document Date,Annexure Number,Annexure Date,Serial Number,Item Description,Quantity,Carried Forward Balance,Balance From Previous Annexure,Job Worker DC Number,Date,Item Description,Board Quantity,Nature of Process Done,Per Board,Consumption,Total Consumption,Balance,Balance C/F to Annexure,Returned,Scrap
2014245100,11/27/2014,1133,11/27/2014,1,170-PCC000043-E,15,1,1126,,,,,,,,0,16,1216,0,0
2014245176,11/27/2014,1133,11/27/2014,2,998-CPC000066-M,423,0,,90,02-Dec-14,170-PCA000002-E,29,ASSEMBLY,1,29,421,2,1137,0,0
,,,,,,,,,95,05-Dec-14,170-PCA000003-E,11,ASSEMBLY,1,11,,,,,
,,,,,,,,,97,06-Dec-14,170-PCA000003-E,24,ASSEMBLY,1,24,,,,,
,,,,,,,,,100,08-Dec-14,170-PCA000003-E,17,ASSEMBLY,1,17,,,,,
,,,,,,,,,101,08-Dec-14,170-PCA000084-E,40,ASSEMBLY,1,40,,,,,
,,,,,,,,,102,09-Dec-14,170-PCA000003-E,6,ASSEMBLY,1,6,,,,,
,,,,,,,,,102,09-Dec-14,170-PCA000084-E,18,ASSEMBLY,1,18,,,,,
,,,,,,,,,104,10-Dec-14,170-PCA000003-E,9,ASSEMBLY,1,9,,,,,
,,,,,,,,,104,10-Dec-14,170-PCA000084-E,33,ASSEMBLY,1,33,,,,,
,,,,,,,,,105,11-Dec-14,170-PCA000084-E,37,ASSEMBLY,1,37,,,,,
,,,,,,,,,107,15-Dec-14,170-PCA000003-E,58,ASSEMBLY,1,58,,,,,
,,,,,,,,,111,19-Dec-14,170-PCA000003-E,10,ASSEMBLY,1,10,,,,,
,,,,,,,,,111,19-Dec-14,170-PCA000084-E,34,ASSEMBLY,1,34,,,,,
,,,,,,,,,111,19-Dec-14,170-PCA000256-E,43,ASSEMBLY,1,43,,,,,
,,,,,,,,,117,24-Dec-14,170-PCA000002-E,35,ASSEMBLY,1,35,,,,,
,,,,,,,,,117,24-Dec-14,170-PCA000256-E,17,ASSEMBLY,1,17,,,,,
2014245176,11/27/2014,1133,11/27/2014,3,998-CPC000205-M,1,0,,,,,,,,,0,1,1162,0,0
2014245176,11/27/2014,1133,11/27/2014,4,998-CPC000600-M,48,0,,90,02-Dec-14,170-PCA000002-E,29,ASSEMBLY,1,29,29,16,1169,3,0
2014245176,11/27/2014,1133,11/27/2014,5,998-CPC000601-M,48,0,,90,02-Dec-14,170-PCA000002-E,29,ASSEMBLY,1,29,29,19,1211,0,0
2014245100,11/27/2014,1133,11/27/2014,6,999-ACC000135-E,500,0,,101,08-Dec-14,170-PCA000084-E,40,ASSEMBLY,2,80,402,78,1214,0,20
,,,,,,,,,102,09-Dec-14,170-PCA000084-E,18,ASSEMBLY,2,36,,,,,
,,,,,,,,,104,10-Dec-14,170-PCA000084-E,33,ASSEMBLY,2,66,,,,,
,,,,,,,,,105,11-Dec-14,170-PCA000084-E,37,ASSEMBLY,2,74,,,,,
,,,,,,,,,111,19-Dec-14,170-PCA000084-E,34,ASSEMBLY,2,68,,,,,
,,,,,,,,,119,26-Dec-14,170-PCA000084-E,12,ASSEMBLY,2,24,,,,,
,,,,,,,,,125,31-Dec-14,170-PCA000084-E,2,ASSEMBLY,2,4,,,,,
,,,,,,,,,269,14-Mar-15,170-PCA000084-E,25,ASSEMBLY,2,50,,,,,
2014245100,11/27/2014,1133,11/27/2014,7,999-ADC000018-E,685,48,1126,101,08-Dec-14,170-PCA000084-E,40,ASSEMBLY,4,160,704,29,1227,0,0
,,,,,,,,,102,09-Dec-14,170-PCA000084-E,18,ASSEMBLY,4,72,,,,,
,,,,,,,,,104,10-Dec-14,170-PCA000084-E,33,ASSEMBLY,4,132,,,,,
,,,,,,,,,105,11-Dec-14,170-PCA000084-E,37,ASSEMBLY,4,148,,,,,
,,,,,,,,,111,19-Dec-14,170-PCA000084-E,34,ASSEMBLY,4,136,,,,,
,,,,,,,,,119,26-Dec-14,170-PCA000084-E,12,ASSEMBLY,4,48,,,,,
,,,,,,,,,125,31-Dec-14,170-PCA000084-E,2,ASSEMBLY,4,8,,,,,
2014245100,11/27/2014,1133,11/27/2014,8,999-ADC000038-E,200,0,,101,08-Dec-14,170-PCA000084-E,40,ASSEMBLY,1,40,176,24,1239,0,0
,,,,,,,,,102,09-Dec-14,170-PCA000084-E,18,ASSEMBLY,1,18,,,,,
,,,,,,,,,104,10-Dec-14,170-PCA000084-E,33,ASSEMBLY,1,33,,,,,
,,,,,,,,,105,11-Dec-14,170-PCA000084-E,37,ASSEMBLY,1,37,,,,,
,,,,,,,,,111,19-Dec-14,170-PCA000084-E,34,ASSEMBLY,1,34,,,,,
,,,,,,,,,119,26-Dec-14,170-PCA000084-E,12,ASSEMBLY,1,12,,,,,
,,,,,,,,,125,31-Dec-14,170-PCA000084-E,2,ASSEMBLY,1,2,,,,,
2014245100,11/27/2014,1133,11/27/2014,9,999-AJC000040-E,200,0,,101,08-Dec-14,170-PCA000084-E,40,ASSEMBLY,1,40,176,21,1227,3,0
,,,,,,,,,102,09-Dec-14,170-PCA000084-E,18,ASSEMBLY,1,18,,,,,
,,,,,,,,,104,10-Dec-14,170-PCA000084-E,33,ASSEMBLY,1,33,,,,,
,,,,,,,,,105,11-Dec-14,170-PCA000084-E,37,ASSEMBLY,1,37,,,,,
,,,,,,,,,111,19-Dec-14,170-PCA000084-E,34,ASSEMBLY,1,34,,,,,
,,,,,,,,,119,26-Dec-14,170-PCA000084-E,12,ASSEMBLY,1,12,,,,,
