Tejas Document Number,Document Date,Annexure Number,Annexure Date,Serial Number,Item Description,Quantity,Carried Forward Balance,Balance From Previous Annexure,Job Worker DC Number,Date,Item Description,Board Quantity,Nature of Process Done,Per Board,Consumption,Total Consumption,Balance,Balance C/F to Annexure,Returned,Scrap
2014269991,3/27/2015,1946,3/27/2015,1,141-CCA000015-M,6,10,1221,,,,,,,,0,0,,15,1
2014269991,3/27/2015,1946,3/27/2015,2,141-CGC000021-M,6,10,1221,,,,,,,,0,0,,16,0
2014269991,3/27/2015,1946,3/27/2015,3,141-CGC000022-M,6,0,1221,,,,,,,,0,0,,6,0
2014269991,3/27/2015,1946,3/27/2015,4,170-CCA000022-M,71,10,1907,4,11-Apr-15,170-PCA000084-E,28,ASSEMBLY,1,28,72,9,22,0,0
,,,,,,,,,4,13-Apr-15,170-PCA000084-E,7,ASSEMBLY,1,7,,,,,
,,,,,,,,,7,14-Apr-15,170-PCA000084-E,3,ASSEMBLY,1,3,,,,,
,,,,,,,,,12,16-Apr-15,170-PCA000084-E,9,ASSEMBLY,1,9,,,,,
,,,,,,,,,17,21-Apr-15,170-PCA000084-E,2,ASSEMBLY,1,2,,,,,
,,,,,,,,,24,22-Apr-15,170-PCA000084-E,1,ASSEMBLY,1,1,,,,,
,,,,,,,,,29,27-Apr-15,170-PCA000084-E,1,ASSEMBLY,1,1,,,,,
,,,,,,,,,31,04-May-15,170-PCA000084-E,3,ASSEMBLY,1,3,,,,,
,,,,,,,,,53,22-May-15,170-PCA000084-E,18,ASSEMBLY,1,18,,,,,
2014269991,3/27/2015,1946,3/27/2015,5,170-CGC000041-M,30,3,1921,53,22-May-15,170-PCA000084-E,18,ASSEMBLY,1,18,18,15,31,0,0
2014269991,3/27/2015,1946,3/27/2015,6,998-CFA000006-M,321,129,1907,4,11-Apr-15,170-PCA000084-E,28,ASSEMBLY,5,140,360,90,31,0,0
,,,,,,,,,4,13-Apr-15,170-PCA000084-E,7,ASSEMBLY,5,35,,,,,
,,,,,,,,,7,14-Apr-15,170-PCA000084-E,3,ASSEMBLY,5,15,,,,,
,,,,,,,,,12,16-Apr-15,170-PCA000084-E,9,ASSEMBLY,5,45,,,,,
,,,,,,,,,17,21-Apr-15,170-PCA000084-E,2,ASSEMBLY,5,10,,,,,
,,,,,,,,,24,22-Apr-15,170-PCA000084-E,1,ASSEMBLY,5,5,,,,,
,,,,,,,,,29,27-Apr-15,170-PCA000084-E,1,ASSEMBLY,5,5,,,,,
,,,,,,,,,31,04-May-15,170-PCA000084-E,3,ASSEMBLY,5,15,,,,,
,,,,,,,,,53,22-May-15,170-PCA000084-E,18,ASSEMBLY,5,90,,,,,
2014270053,3/27/2015,1946,3/27/2015,7,999-ACC000029-E,400,1159,1735,,,,,,,,0,0,,1559,0
2014270053,3/27/2015,1946,3/27/2015,8,999-AYC000144-E,500,212,1580,,,,,,,,0,17,34,695,0
2014270053,3/27/2015,1946,3/27/2015,9,999-AYC395259-E,3000,1458,1736,,,,,,,,0,1285,152,3173,0
2014270053,3/27/2015,1946,3/27/2015,10,999-AZC000001-E,1500,406,1597,,,,,,,,0,0,,1268,638
2014270053,3/27/2015,1946,3/27/2015,11,999-AZC000004-E,800,357,1736,,,,,,,,0,1157,69,0,0
2014270053,3/27/2015,1946,3/27/2015,12,999-BEC000152-E,2,3,1627,,,,,,,,0,0,,0,5
2014270053,3/27/2015,1946,3/27/2015,13,999-BVC000075-E,651,231,1495,,,,,,,,0,231,69,651,0
2014270053,3/27/2015,1946,3/27/2015,14,999-BVC000094-E,474,173,1578,,,,,,,,0,173,69,474,0
2014269991,3/27/2015,1946,3/27/2015,15,999-CECSPP011-M,35,0,1211,343,30-Mar-15,115-PCA000084-E,10,ASSEMBLY,1,10,34,1,22,0,0
,,,,,,,,,51,22-May-15,115-PCA000084-E,3,ASSEMBLY,1,3,,,,,
,,,,,,,,,108,19-Jun-15,115-PCA000084-E,1,ASSEMBLY,1,1,,,,,
,,,,,,,,,159,24-Jul-15,115-PCA000084-E,1,ASSEMBLY,1,1,,,,,
,,,,,,,,,195,21-Sep-15,115-PCA000084-E,1,ASSEMBLY,1,1,,,,,
,,,,,,,,,197,25-Sep-15,115-PCA000084-E,17,ASSEMBLY,1,17,,,,,
,,,,,,,,,235,19-Jan-16,115-PCA000084-E,1,ASSEMBLY,1,1,,,,,


,,Total Quantity,11963
,,Total Consumption,484
,,Total Scrap,644
,,Total Returned,7857
,,Total Balance,2978
