Tejas Document Number,Document Date,Annexure Number,Annexure Date,Serial Number,Item Description,Quantity,Carried Forward Balance,Balance From Previous Annexure,Job Worker DC Number,Date,Item Description,Board Quantity,Nature of Process Done,Per Board,Consumption,Total Consumption,Balance,Balance C/F to Annexure,Returned,Scrap
2015201652,4/9/2015,29,4/9/2015,1,130-PCC000029-E,15,30,1611,,,,,,,,0,45,32,0,0
2015201652,4/9/2015,29,4/9/2015,2,998-BBC000019-E,63,30,28,106,18-Jun-15,130-PCA000205-E,60,ASSEMBLY,1,60,91,2,136,0,0
,,,,,,,,,107,19-Jun-15,130-PCA000205-E,20,ASSEMBLY,1,20,,,,,
,,,,,,,,,114,23-Jun-15,130-PCA000205-E,11,ASSEMBLY,1,11,,,,,
2015201652,4/9/2015,29,4/9/2015,3,999-ACC000016-E,385,193,1351,,,,,,,,0,578,32,0,0
2015201652,4/9/2015,29,4/9/2015,4,999-ACC000066-E,176,57,1736,99,15-Jun-15,130-PCA000205-E,30,ASSEMBLY,2,60,140,93,30,0,0
,,,,,,,,,102,16-Jun-15,130-PCA000205-E,40,ASSEMBLY,2,80,,,,,
2015201652,4/9/2015,29,4/9/2015,5,999-ACC000120-E,300,0,22,178,05-Aug-15,140-SKU000004-P,1,ASSEMBLY,2,2,276,12,32,0,12
,,,,,,,,,177,05-Aug-15,170-PCA000084-E,9,ASSEMBLY,8,72,,,,,
,,,,,,,,,190,21-Sep-15,170-PCA000003-E,1,ASSEMBLY,2,2,,,,,
,,,,,,,,,228,13-Jan-16,170-PCA000084-E,24,ASSEMBLY,8,192,,,,,
,,,,,,,,,229,13-Jan-16,170-PCA000256-E,4,ASSEMBLY,2,8,,,,,
2015201652,4/9/2015,29,4/9/2015,6,999-ACC757501-E,105,57,1735,93,11-Jun-15,170-PCA000003-E,20,ASSEMBLY,3,60,60,96,30,0,6
2015201652,4/9/2015,29,4/9/2015,7,999-ADC837001-E,250,20,1447,,,,,,,,0,0,,69,201
2015201652,4/9/2015,29,4/9/2015,8,999-AHC926001-E,179,280,1597,,,,,,,,0,459,32,0,0
2015201652,4/9/2015,29,4/9/2015,9,999-AIC000008-E,784,305,1580,,,,,,,,0,0,,1089,0
2015201652,4/9/2015,29,4/9/2015,10,999-AIC000009-E,900,36,1553,102,16-Jun-15,130-PCA000205-E,40,ASSEMBLY,3,120,894,0,,0,42
,,,,,,,,,106,18-Jun-15,130-PCA000205-E,60,ASSEMBLY,3,180,,,,,
,,,,,,,,,107,19-Jun-15,130-PCA000205-E,20,ASSEMBLY,3,60,,,,,
,,,,,,,,,113,23-Jun-15,103-PCA000027-E,2,ASSEMBLY,6,12,,,,,
,,,,,,,,,114,23-Jun-15,130-PCA000205-E,11,ASSEMBLY,3,33,,,,,
,,,,,,,,,116,26-Jun-15,130-PCA000205-E,28,ASSEMBLY,3,84,,,,,
,,,,,,,,,121,30-Jun-15,130-PCA000205-E,11,ASSEMBLY,3,33,,,,,
,,,,,,,,,123,02-Jul-15,130-PCA000205-E,14,ASSEMBLY,3,42,,,,,
,,,,,,,,,128,07-Jul-15,130-PCA000205-E,34,ASSEMBLY,3,102,,,,,
,,,,,,,,,134,09-Jul-15,130-PCA000205-E,10,ASSEMBLY,3,30,,,,,
,,,,,,,,,142,13-Jul-15,103-PCA000027-E,2,ASSEMBLY,6,12,,,,,
,,,,,,,,,153,20-Jul-15,130-PCA000205-E,16,ASSEMBLY,3,48,,,,,
,,,,,,,,,160,24-Jul-15,103-PCA000027-E,2,ASSEMBLY,6,12,,,,,
