Tejas Document Number,Document Date,Annexure Number,Annexure Date,Serial Number,Item Description,Quantity,Carried Forward Balance,Balance From Previous Annexure,Job Worker DC Number,Date,Item Description,Board Quantity,Nature of Process Done,Per Board,Consumption,Total Consumption,Balance,Balance C/F to Annexure,Returned,Scrap
2014247721,12/11/2014,1199,12/11/2015,1,999-ACC000003-E,200,0,,196,13-Feb-15,115-PCA000039-E,50,ASSEMBLY,2,100,146,46,1344,0,8
,,,,,,,,,199,16-Feb-15,115-PCA000039-E,23,ASSEMBLY,2,46,,,,,
2014247730,12/11/2014,1199,12/11/2015,2,999-ACC000034-E,100,0,,126,31-Dec-14,104-PCA000001-E,47,ASSEMBLY,1,47,97,3,1482,0,0
,,,,,,,,,223,26-Feb-15,104-PCA000001-E,50,ASSEMBLY,1,50,,,,,
2014247730,12/11/2014,1199,12/11/2015,3,999-ACC000044-E,60,0,,126,31-Dec-14,104-PCA000001-E,47,ASSEMBLY,1,47,47,11,1482,0,2
2014247721,12/11/2014,1199,12/11/2015,4,999-ACC000045-E,440,0,,202,18-Feb-15,141-PCA000024-E,4,ASSEMBLY,2,8,220,202,1214,0,18
,,,,,,,,,317,27-Mar-15,141-PCA000024-E,1,ASSEMBLY,2,2,,,,,
,,,,,,,,,323,28-Mar-15,141-PCA000024-E,3,ASSEMBLY,2,6,,,,,
,,,,,,,,,329,30-Mar-15,141-PCA000024-E,4,ASSEMBLY,2,8,,,,,
,,,,,,,,,334,30-Mar-15,141-PCA000024-E,1,ASSEMBLY,2,2,,,,,
,,,,,,,,,336,30-Mar-15,141-PCA000024-E,5,ASSEMBLY,2,10,,,,,
,,,,,,,,,347,30-Mar-15,141-PCA000024-E,10,ASSEMBLY,2,20,,,,,
,,,,,,,,,348,30-Mar-15,141-PCA000024-E,7,ASSEMBLY,2,14,,,,,
,,,,,,,,,349,30-Mar-15,141-PCA000024-E,15,ASSEMBLY,2,30,,,,,
,,,,,,,,,350,30-Mar-15,141-PCA000024-E,15,ASSEMBLY,2,30,,,,,
