Tejas Document Number,Document Date,Annexure Number,Annexure Date,Serial Number,Item Description,Quantity,Carried Forward Balance,Balance From Previous Annexure,Job Worker DC Number,Date,Item Description,Board Quantity,Nature of Process Done,Per Board,Consumption,Total Consumption,Balance,Balance C/F to Annexure,Returned,Scrap
2015201559,4/9/2015,34,4/9/2015,1,999-ACC000017-E,350,628,1559,,,,,,,,0,0,,978,0
2015201559,4/9/2015,34,4/9/2015,2,999-ACC000095-E,200,0,1550,233,14-Jan-16,130-PCA000205-E,26,ASSEMBLY,1,26,29,38,292,125,8
,,,,,,,,,241,19-Jan-16,130-PCA000205-E,3,ASSEMBLY,1,3,,,,,
2015201559,4/9/2015,34,4/9/2015,3,999-ACC000172-E,3200,166,1867,102,16-Jun-15,130-PCA000205-E,40,ASSEMBLY,12,480,3366,0,,0,0
,,,,,,,,,106,18-Jun-15,130-PCA000205-E,60,ASSEMBLY,12,720,,,,,
,,,,,,,,,107,19-Jun-15,130-PCA000205-E,20,ASSEMBLY,12,240,,,,,
,,,,,,,,,114,23-Jun-15,130-PCA000205-E,11,ASSEMBLY,12,132,,,,,
,,,,,,,,,118,26-Jun-15,141-PCA000002-E,1,ASSEMBLY,1,1,,,,,
,,,,,,,,,116,26-Jun-15,130-PCA000205-E,28,ASSEMBLY,12,336,,,,,
,,,,,,,,,121,30-Jun-15,130-PCA000205-E,11,ASSEMBLY,12,132,,,,,
,,,,,,,,,123,02-Jul-15,130-PCA000205-E,14,ASSEMBLY,12,168,,,,,
,,,,,,,,,128,07-Jul-15,130-PCA000205-E,34,ASSEMBLY,12,408,,,,,
,,,,,,,,,135,09-Jul-15,141-PCA000002-E,2,ASSEMBLY,1,2,,,,,
,,,,,,,,,134,09-Jul-15,130-PCA000205-E,10,ASSEMBLY,12,120,,,,,
,,,,,,,,,153,20-Jul-15,130-PCA000205-E,16,ASSEMBLY,12,192,,,,,
,,,,,,,,,157,24-Jul-15,130-PCA000205-E,2,ASSEMBLY,12,24,,,,,
,,,,,,,,,170,31-Jul-15,130-PCA000205-E,5,ASSEMBLY,12,60,,,,,
,,,,,,,,,233,14-Jan-16,130-PCA000205-E,26,ASSEMBLY,12,312,,,,,
,,,,,,,,,240,19-Jan-16,141-PCA000002-E,3,ASSEMBLY,1,3,,,,,
,,,,,,,,,241,19-Jan-16,130-PCA000205-E,3,ASSEMBLY,12,36,,,,,
2015201559,4/9/2015,34,4/9/2015,4,999-ACC757502-E,500,85,1735,,,,,,,,0,0,,141,444
2015201559,4/9/2015,34,4/9/2015,5,999-ACC7C6501-E,200,27,1597,,,,,,,,0,181,142,46,0
2015201559,4/9/2015,34,4/9/2015,6,999-ACCC57751-E,200,9,1736,,,,,,,,0,0,,209,0
