Component, Received From Tejas, Consumption, Scrap, Balance, Returned Quantity, Returned Accounted Quantity, Unaccounted Return Quantity, Is Balancing, Remaining Rows in Results, Balance In Annexure
999-AYC000201-E, 500, 255, 245, 0, 0, 0, 0, true, 0, null
999-AYC000208-E, 500, 170, 330, 0, 0, 0, 0, true, 0, null
999-AYC000212-E, 754, 170, 10, 76, 498, 498, 0, true, 0, 44
999-AYC000215-E, 1840, 1275, 75, 170, 320, 320, 0, true, 0, 1618
999-AYC000218-E, 1750, 1190, 71, 139, 554, 350, 204, true, 0, 1632
999-AYC000219-E, 500, 255, 126, 0, 119, 119, 0, true, 0, null
999-AYC000300-E, 200, 60, 11, 0, 129, 129, 0, true, 0, null
999-AYC395509-E, 550, 394, 24, 132, 0, 0, 0, true, 0, 34
999-AYC395516-E, 353, 84, 8, 156, 105, 105, 0, true, 0, 102
999-AYC395533-E, 1418, 84, 5, 97, 1232, 1232, 0, true, 0, 1578
999-AYC815501-E, 855, 680, 37, 49, 175, 89, 86, true, 0, 152
999-AZC000007-E, 2690, 1344, 0, 97, 1249, 1249, 0, true, 0, 1751
999-AZC000012-E, 1000, 425, 0, 575, 0, 0, 0, true, 0, 1618
999-BAC000002-E, 1252, 861, 0, 4, 387, 387, 0, true, 0, 120
999-BBC000090-E, 100, 20, 1, 0, 79, 79, 0, true, 0, null
999-BEC000111-E, 304, 168, 0, 2, 134, 134, 0, true, 0, 29
999-BEC000142-E, 271, 85, 0, 8, 178, 178, 0, true, 0, 1628
999-BJC000008-E, 1082, 574, 0, 11, 497, 497, 0, true, 0, 1751
999-BUC000008-E, 419, 169, 0, 3, 247, 247, 0, true, 0, 1632
999-BVC000069-E, 300, 169, 0, 2, 129, 129, 0, true, 0, 1578
