Tejas Part Number,Qty shipping,DC ref,DC date
999-CAC001244-E,63,203,9/28/2015
999-CBC000010-E,22,203,9/28/2015
999-CBC000049-E,600,203,9/28/2015
999-CBC000049-E,537,203,9/28/2015
999-CECNSS001-M,9,203,9/28/2015
999-CECSCX006-M,23,203,9/28/2015
999-CECSCX006-M,158,203,9/28/2015
999-CECSCX009-M,22,203,9/28/2015
999-CECSCX009-M,18,203,9/28/2015
999-CECSCX009-M,34,203,9/28/2015
999-CECSMX014-M,321,203,9/28/2015
999-CECSMX015-M,36,203,9/28/2015
999-CECSMX016-M,120,203,9/28/2015
999-CECSPP010-M,40,203,9/28/2015
999-CECSPP010-M,60,203,9/28/2015
999-CECSPP025-M,5,203,9/28/2015
999-CECSPX009-M,23,203,9/28/2015
999-CECSPX009-M,37,203,9/28/2015
999-CFC000019-M,20,203,9/28/2015
999-CFC000020-M,19,203,9/28/2015
999-CFC000037-M,58,203,9/28/2015
999-CFC000050-M,15,203,9/28/2015
999-CIC000050-E,22,203,9/28/2015
999-CJC000012-E,114,203,9/28/2015
999-CKC000019-E,138,203,9/28/2015
999-CKC000032-E,19,203,9/28/2015
999-CKC000062-E,10,203,9/28/2015
999-CMC000026-E,10,203,9/28/2015
999-CMC000030-E,93,203,9/28/2015
001-PCC000060-E,12,212,10/10/2015
001-PCCSY5R03-E,13,212,10/10/2015
001-PCCSYNC03-E,40,212,10/10/2015
102-PCC000013-E,58,212,10/10/2015
102-PCC000014-E,10,212,10/10/2015
110-CCA000006-M,17,212,10/10/2015
110-CCA000011-M,1,212,10/10/2015
110-CGC000036-M,3,212,10/10/2015
111-CGC000012-M,23,212,10/10/2015
115-PCC000009-E,6,212,10/10/2015
115-PCC000011-E,4,212,10/10/2015
115-PCC000011-E,6,212,10/10/2015
130-CDA000058-M,15,212,10/10/2015
130-CGC000038-M,20,212,10/10/2015
130-CGC000121-M,4,212,10/10/2015
130-PCC000049-E,9,212,10/10/2015
140-CDA000014-M,10,212,10/10/2015
140-CDA000016-M,10,212,10/10/2015
140-CDA000026-M,10,212,10/10/2015
140-CDC000042-M,10,212,10/10/2015
140-PCC000001-E,2,212,10/10/2015
140-PCC000004-E,10,212,10/10/2015
141-CCA000003-M,6,212,10/10/2015
141-CCA000015-M,15,212,10/10/2015
141-CGC000022-M,6,212,10/10/2015
141-PCC000011-E,43,212,10/10/2015
160-CDC000064-M,91,212,10/10/2015
160-CDC000064-M,115,212,10/10/2015
160-CDC000064-M,56,212,10/10/2015
160-CDC000065-M,94,212,10/10/2015
160-PCC000002-E,50,212,10/10/2015
160-PCC000002-E,53,212,10/10/2015
160-PCC000002-E,30,212,10/10/2015
170-CCA000005-E,1,212,10/10/2015
170-CCA000033-M,36,212,10/10/2015
170-CDA000024-M,42,212,10/10/2015
170-CGC000041-M,1,212,10/10/2015
170-CGC000058-M,12,212,10/10/2015
170-CGC000059-M,75,212,10/10/2015
170-PCC000016-E,11,212,10/10/2015
170-PCC000019-E,4,212,10/10/2015
170-PCC000019-E,7,212,10/10/2015
170-PCC000065-E,10,212,10/10/2015
203-CGC000018-M,5,212,10/10/2015
404-PCC000004-E,30,212,10/10/2015
998-AOC000021-E,20,212,10/10/2015
998-BBC000004-E,50,212,10/10/2015
998-BZA000358-X,3,212,10/10/2015
998-CDC000017-M,52,212,10/10/2015
998-CECSPP012-M,10,212,10/10/2015
998-CECSPP013-M,9,212,10/10/2015
998-CFA000006-M,190,212,10/10/2015
998-CFA000006-M,360,212,10/10/2015
998-CFC000030-M,104,212,10/10/2015
998-CFC000031-M,29,212,10/10/2015
998-CFC000031-M,81,212,10/10/2015
998-CIC000008-E,10,212,10/10/2015
999-ABC000001-E,294,212,10/10/2015
999-ABC000001-E,1165,212,10/10/2015
999-ABC000006-E,606,212,10/10/2015
999-ABC000007-E,104,212,10/10/2015
999-ACC000003-E,69,212,10/10/2015
999-ACC000008-E,520,212,10/10/2015
999-ACC000009-E,624,212,10/10/2015
999-ACC000009-E,3263,212,10/10/2015
999-ACC000009-E,381,212,10/10/2015
999-ACC000013-E,1268,212,10/10/2015
999-ACC000013-E,940,212,10/10/2015
999-ACC000013-E,127,212,10/10/2015
999-ACC000023-E,657,212,10/10/2015
999-ACC000023-E,1376,212,10/10/2015
999-ACC000023-E,226,212,10/10/2015
999-ACC000023-E,1222,212,10/10/2015
999-ACC000023-E,1866,212,10/10/2015
999-ACC000023-E,82,212,10/10/2015
999-ACC000026-E,1040,212,10/10/2015
999-ACC000029-E,424,212,10/10/2015
999-ACC000034-E,40,212,10/10/2015
999-ACC000034-E,25,212,10/10/2015
999-ACC000037-E,124,212,10/10/2015
999-ACC000044-E,90,212,10/10/2015
999-ACC000044-E,3,212,10/10/2015
999-ACC000044-E,10,212,10/10/2015
999-ACC000045-E,350,212,10/10/2015
999-ACC000046-E,125,212,10/10/2015
999-ACC000051-E,92,212,10/10/2015
999-ACC000052-E,9995,212,10/10/2015
999-ACC000052-E,9354,212,10/10/2015
999-ACC000052-E,9956,212,10/10/2015
999-ACC000052-E,175,212,10/10/2015
999-ACC000052-E,3606,212,10/10/2015
999-ACC000052-E,1158,212,10/10/2015
999-ACC000052-E,748,212,10/10/2015
999-ACC000052-E,2779,212,10/10/2015
999-ACC000052-E,2218,212,10/10/2015
999-ACC000052-E,1790,212,10/10/2015
999-ACC000053-E,796,212,10/10/2015
999-ACC000058-E,109,212,10/10/2015
999-ACC000070-E,3004,212,10/10/2015
999-ACC000073-E,1631,212,10/10/2015
999-ACC000073-E,1203,212,10/10/2015
999-ACC000073-E,321,212,10/10/2015
999-ACC000074-E,175,212,10/10/2015
999-ACC000076-E,136,212,10/10/2015
999-ACC000078-E,1697,212,10/10/2015
999-ACC000081-E,170,212,10/10/2015
999-ACC000081-E,354,212,10/10/2015
999-ACC000083-E,29,212,10/10/2015
999-ACC000100-E,1580,212,10/10/2015
999-ACC000106-E,807,212,10/10/2015
999-ACC000120-E,68,212,10/10/2015
999-ACC000124-E,202,212,10/10/2015
999-ACC000135-E,173,212,10/10/2015
999-ACC000172-E,93,212,10/10/2015
999-ACC000187-E,618,212,10/10/2015
999-ACC000187-E,196,212,10/10/2015
999-ACC000187-E,253,212,10/10/2015
999-ACC000187-E,995,212,10/10/2015
999-ACC000189-E,118,212,10/10/2015
999-ACC000189-E,2178,212,10/10/2015
999-ACC000189-E,1772,212,10/10/2015
999-ACC000204-E,10,212,10/10/2015
999-ACC000208-E,588,212,10/10/2015
999-ACC000208-E,707,212,10/10/2015
999-ACC000228-E,99,212,10/10/2015
999-ACC000230-E,54,212,10/10/2015
999-ACC000367-E,179,212,10/10/2015
999-ACC000374-E,10,212,10/10/2015
999-ACC315001-E,136,212,10/10/2015
999-ACC315501-E,35,212,10/10/2015
999-ACC315501-E,238,212,10/10/2015
999-ACC315502-E,103,212,10/10/2015
999-ACC315502-E,542,212,10/10/2015
999-ACC315503-E,680,212,10/10/2015
999-ACC315503-E,473,212,10/10/2015
999-ACC315503-E,198,212,10/10/2015
999-ACC315503-E,4730,212,10/10/2015
999-ACC315503-E,7997,212,10/10/2015
999-ACC315503-E,3809,212,10/10/2015
999-ACC315503-E,2250,212,10/10/2015
999-ACC316253-E,161,212,10/10/2015
999-ACC316501-E,18,212,10/10/2015
999-ACC316504-E,2527,212,10/10/2015
999-ACC316505-E,67,212,10/10/2015
999-ACC317501-E,3999,212,10/10/2015
999-ACC317501-E,3998,212,10/10/2015
999-ACC317501-E,5760,212,10/10/2015
999-ACC317501-E,124,212,10/10/2015
999-ACC317501-E,13997,212,10/10/2015
999-ACC317501-E,3999,212,10/10/2015
999-ACC317501-E,2786,212,10/10/2015
999-ACC317501-E,1162,212,10/10/2015
999-ACC318501-E,3102,212,10/10/2015
999-ACC326026-E,63,212,10/10/2015
999-ACC326026-E,196,212,10/10/2015
999-ACC326501-E,54,212,10/10/2015
999-ACC326501-E,144,212,10/10/2015
999-ACC326502-E,15,212,10/10/2015
999-ACC326502-E,757,212,10/10/2015
999-ACC326502-E,310,212,10/10/2015
999-ACC326502-E,1430,212,10/10/2015
999-ACC326502-E,136,212,10/10/2015
999-ACC326504-E,807,212,10/10/2015
999-ACC338501-E,1066,212,10/10/2015
999-ACC338501-E,3179,212,10/10/2015
999-ACC338501-E,246,212,10/10/2015
999-ACC338501-E,1201,212,10/10/2015
999-ACC757504-E,198,212,10/10/2015
999-ADC000013-E,15,212,10/10/2015
999-ADC000015-E,67,212,10/10/2015
999-ADC000018-E,2,212,10/10/2015
999-ADC000031-E,66,212,10/10/2015
999-ADC000038-E,167,212,10/10/2015
999-ADC837001-E,10,212,10/10/2015
999-ADC837752-E,135,212,10/10/2015
999-ADC857001-E,128,212,10/10/2015
999-ADC8XX001-E,163,212,10/10/2015
999-ADC8XX001-E,10,212,10/10/2015
999-ADCD87751-E,1000,212,10/10/2015
999-ADCD87751-E,1498,212,10/10/2015
999-ADCD87752-E,43,212,10/10/2015
999-ADCD87752-E,98,212,10/10/2015
999-ADCD87752-E,496,212,10/10/2015
999-AEC856751-E,76,212,10/10/2015
999-AHC916001-E,146,212,10/10/2015
999-AHC926001-E,163,212,10/10/2015
999-AHC936001-E,312,212,10/10/2015
999-AIC000005-E,17,212,10/10/2015
999-AIC000007-E,101,212,10/10/2015
999-AIC000007-E,80,212,10/10/2015
999-AIC000008-E,173,212,10/10/2015
999-AIC000008-E,132,212,10/10/2015
999-AIC000008-E,460,212,10/10/2015
999-AIC000008-E,1089,212,10/10/2015
999-AIC000009-E,20,212,10/10/2015
999-AIC000011-E,67,212,10/10/2015
999-AIC000013-E,63,212,10/10/2015
999-AIC000015-E,11,212,10/10/2015
999-AIC000023-E,50,212,10/10/2015
999-AIC000023-E,339,212,10/10/2015
999-AIC000023-E,165,212,10/10/2015
999-AIC000026-E,1137,212,10/10/2015
999-AIC000026-E,611,212,10/10/2015
999-AIC000036-E,43,212,10/10/2015
999-AIC000044-E,156,212,10/10/2015
999-AIC000044-E,900,212,10/10/2015
999-AIC000050-E,224,212,10/10/2015
999-AIC000050-E,621,212,10/10/2015
999-AIC000050-E,510,212,10/10/2015
999-AIC000050-E,8616,212,10/10/2015
999-AIC000051-E,171,212,10/10/2015
999-AIC000051-E,683,212,10/10/2015
999-AIC000061-E,24,212,10/10/2015
999-AIC000065-E,171,212,10/10/2015
999-AIC000068-E,102,212,10/10/2015
999-AIC000069-E,109,212,10/10/2015
999-AIC000073-E,110,212,10/10/2015
999-AIC000074-E,90,212,10/10/2015
999-AIC000077-E,170,212,10/10/2015
999-AIC000080-E,170,212,10/10/2015
999-AIC000107-E,243,212,10/10/2015
999-AJC000004-E,19,212,10/10/2015
999-AKC000006-E,306,212,10/10/2015
999-AMC000009-E,80,212,10/10/2015
999-AOC000016-E,13,212,10/10/2015
999-AOC000016-E,6,212,10/10/2015
999-AOC000132-E,15,212,10/10/2015
999-ARC000002-E,56,212,10/10/2015
999-ARC000002-E,87,212,10/10/2015
999-ARC000002-E,28,212,10/10/2015
999-ARC000008-E,8,212,10/10/2015
999-ARC000009-E,77,212,10/10/2015
999-AXC000009-E,151,212,10/10/2015
999-AXC000011-E,488,212,10/10/2015
999-AXC000017-E,105,212,10/10/2015
999-AXC000018-E,52,212,10/10/2015
999-AXC000023-E,60,212,10/10/2015
999-AXC000023-E,229,212,10/10/2015
999-AXC000035-E,6,212,10/10/2015
999-AXC000035-E,55,212,10/10/2015
999-AXC000039-E,41,212,10/10/2015
999-AXC000043-E,22,212,10/10/2015
999-AXC000043-E,76,212,10/10/2015
999-AXC000045-E,83,212,10/10/2015
999-AXC000048-E,209,212,10/10/2015
999-AXC000049-E,96,212,10/10/2015
999-AXC000049-E,59,212,10/10/2015
999-AXC000064-E,110,212,10/10/2015
999-AXC000069-E,18,212,10/10/2015
999-AXC000071-E,97,212,10/10/2015
999-AXC000079-E,201,212,10/10/2015
999-AXC000080-E,48,212,10/10/2015
999-AXC000084-E,73,212,10/10/2015
999-AXC000085-E,57,212,10/10/2015
999-AXC000089-E,32,212,10/10/2015
999-AXC000106-E,121,212,10/10/2015
999-AXC800003-E,45,212,10/10/2015
999-AXCOP0096-E,72,212,10/10/2015
999-AXCT00084-E,35,212,10/10/2015
999-AXCT00086-E,235,212,10/10/2015
999-AYC000007-E,3612,212,10/10/2015
999-AYC000014-E,237,212,10/10/2015
999-AYC000019-E,4843,212,10/10/2015
999-AYC000035-E,28,212,10/10/2015
999-AYC000035-E,121,212,10/10/2015
999-AYC000036-E,84,212,10/10/2015
999-AYC000037-E,211,212,10/10/2015
999-AYC000037-E,608,212,10/10/2015
999-AYC000037-E,687,212,10/10/2015
999-AYC000038-E,78,212,10/10/2015
999-AYC000039-E,69,212,10/10/2015
999-AYC000044-E,298,212,10/10/2015
999-AYC000044-E,331,212,10/10/2015
999-AYC000052-E,424,212,10/10/2015
999-AYC000053-E,112,212,10/10/2015
999-AYC000053-E,4633,212,10/10/2015
999-AYC000063-E,30,212,10/10/2015
999-AYC000064-E,170,212,10/10/2015
999-AYC000067-E,10,212,10/10/2015
999-AYC000067-E,190,212,10/10/2015
999-AYC000069-E,3201,212,10/10/2015
999-AYC000069-E,248,212,10/10/2015
999-AYC000070-E,83,212,10/10/2015
999-AYC000071-E,148,212,10/10/2015
999-AYC000107-E,200,212,10/10/2015
999-AYC000111-E,556,212,10/10/2015
999-AYC000112-E,198,212,10/10/2015
999-AYC000113-E,198,212,10/10/2015
999-AYC000114-E,253,212,10/10/2015
999-AYC000115-E,188,212,10/10/2015
999-AYC000124-E,4981,212,10/10/2015
999-AYC000127-E,1858,212,10/10/2015
999-AYC000127-E,1390,212,10/10/2015
999-AYC000127-E,1518,212,10/10/2015
999-AYC000132-E,1448,212,10/10/2015
999-AYC000132-E,731,212,10/10/2015
999-AYC000133-E,259,212,10/10/2015
999-AYC000135-E,200,212,10/10/2015
999-AYC000136-E,69,212,10/10/2015
999-AYC000136-E,195,212,10/10/2015
999-AYC000136-E,153,212,10/10/2015
999-AYC000142-E,258,212,10/10/2015
999-AYC000144-E,195,212,10/10/2015
999-AYC000147-E,190,212,10/10/2015
999-AYC000155-E,197,212,10/10/2015
999-AYC000160-E,195,212,10/10/2015
999-AYC000173-E,64,212,10/10/2015
999-AYC000182-E,152,212,10/10/2015
999-AYC000188-E,330,212,10/10/2015
999-AYC000195-E,55,212,10/10/2015
999-AYC000195-E,3891,212,10/10/2015
999-AYC000206-E,2869,212,10/10/2015
999-AYC000211-E,250,212,10/10/2015
999-AYC000217-E,219,212,10/10/2015
999-AYC000217-E,334,212,10/10/2015
999-AYC000217-E,822,212,10/10/2015
999-AYC000220-E,448,212,10/10/2015
999-AYC000222-E,496,212,10/10/2015
999-AYC000225-E,400,212,10/10/2015
999-AYC000225-E,114,212,10/10/2015
999-AYC000230-E,494,212,10/10/2015
999-AYC000233-E,100,212,10/10/2015
999-AYC000234-E,144,212,10/10/2015
999-AYC000262-E,1197,212,10/10/2015
999-AYC000267-E,85,212,10/10/2015
999-AYC000283-E,2047,212,10/10/2015
999-AYC000285-E,425,212,10/10/2015
999-AYC000300-E,129,212,10/10/2015
999-AYC000306-E,173,212,10/10/2015
999-AYC000306-E,407,212,10/10/2015
999-AYC000306-E,886,212,10/10/2015
999-AYC000316-E,124,212,10/10/2015
999-AYC000318-E,275,212,10/10/2015
999-AYC000319-E,54,212,10/10/2015
999-AYC000327-E,995,212,10/10/2015
999-AYC000339-E,515,212,10/10/2015
999-AYC000340-E,198,212,10/10/2015
999-AYC000340-E,198,212,10/10/2015
999-AYC000348-E,153,212,10/10/2015
999-AYC000349-E,61,212,10/10/2015
999-AYC000349-E,192,212,10/10/2015
999-AYC000349-E,419,212,10/10/2015
999-AYC000350-E,38,212,10/10/2015
999-AYC000350-E,534,212,10/10/2015
999-AYC000360-E,159,212,10/10/2015
999-AYC000377-E,83,212,10/10/2015
999-AYC000377-E,195,212,10/10/2015
999-AYC000394-E,10,212,10/10/2015
999-AYC000394-E,35,212,10/10/2015
999-AYC000477-E,71,212,10/10/2015
999-AYC000611-E,199,212,10/10/2015
999-AYC000611-E,200,212,10/10/2015
999-AYC393001-E,2358,212,10/10/2015
999-AYC393250-E,102,212,10/10/2015
999-AYC393250-E,1487,212,10/10/2015
999-AYC393251-E,69,212,10/10/2015
999-AYC393501-E,113,212,10/10/2015
999-AYC393502-E,703,212,10/10/2015
999-AYC393502-E,2157,212,10/10/2015
999-AYC393502-E,183,212,10/10/2015
999-AYC393502-E,1100,212,10/10/2015
999-AYC393503-E,1863,212,10/10/2015
999-AYC393506-E,243,212,10/10/2015
999-AYC393513-E,45,212,10/10/2015
999-AYC393513-E,195,212,10/10/2015
999-AYC393514-E,147,212,10/10/2015
999-AYC393515-E,113,212,10/10/2015
999-AYC393515-E,233,212,10/10/2015
999-AYC393515-E,263,212,10/10/2015
999-AYC395001-E,807,212,10/10/2015
999-AYC395002-E,2999,212,10/10/2015
999-AYC395004-E,244,212,10/10/2015
999-AYC395007-E,160,212,10/10/2015
999-AYC395007-E,1720,212,10/10/2015
999-AYC395007-E,152,212,10/10/2015
999-AYC395251-E,183,212,10/10/2015
999-AYC395251-E,4948,212,10/10/2015
999-AYC395251-E,610,212,10/10/2015
999-AYC395252-E,306,212,10/10/2015
999-AYC395253-E,32,212,10/10/2015
999-AYC395254-E,139,212,10/10/2015
999-AYC395255-E,271,212,10/10/2015
999-AYC395256-E,120,212,10/10/2015
999-AYC395256-E,225,212,10/10/2015
999-AYC395256-E,535,212,10/10/2015
999-AYC395256-E,4998,212,10/10/2015
999-AYC395256-E,3999,212,10/10/2015
999-AYC395257-E,2143,212,10/10/2015
999-AYC395259-E,18,212,10/10/2015
999-AYC395259-E,14,212,10/10/2015
999-AYC395259-E,1000,212,10/10/2015
999-AYC395259-E,1388,212,10/10/2015
999-AYC395259-E,1115,212,10/10/2015
999-AYC395261-E,125,212,10/10/2015
999-AYC395262-E,148,212,10/10/2015
999-AYC395263-E,62,212,10/10/2015
999-AYC395263-E,123,212,10/10/2015
999-AYC395266-E,483,212,10/10/2015
999-AYC395267-E,15,212,10/10/2015
999-AYC395267-E,533,212,10/10/2015
999-AYC395269-E,284,212,10/10/2015
999-AYC395269-E,477,212,10/10/2015
999-AYC395272-E,125,212,10/10/2015
999-AYC395273-E,543,212,10/10/2015
999-AYC395276-E,68,212,10/10/2015
999-AYC395293-E,153,212,10/10/2015
999-AYC395293-E,314,212,10/10/2015
999-AYC395293-E,218,212,10/10/2015
999-AYC395500-E,599,212,10/10/2015
999-AYC395501-E,1530,212,10/10/2015
999-AYC395501-E,3749,212,10/10/2015
999-AYC395501-E,423,212,10/10/2015
999-AYC395516-E,105,212,10/10/2015
999-AYC395518-E,16,212,10/10/2015
999-AYC395528-E,425,212,10/10/2015
999-AYC395528-E,309,212,10/10/2015
999-AYC395528-E,900,212,10/10/2015
999-AYC395529-E,106,212,10/10/2015
999-AYC395531-E,5000,212,10/10/2015
999-AYC395531-E,158,212,10/10/2015
999-AYC395532-E,4485,212,10/10/2015
999-AYC395532-E,136,212,10/10/2015
999-AYC395533-E,295,212,10/10/2015
999-AYC395533-E,937,212,10/10/2015
999-AYC395535-E,38,212,10/10/2015
999-AYC395535-E,1550,212,10/10/2015
999-AYC395536-E,54,212,10/10/2015
999-AYC593501-E,31,212,10/10/2015
999-AYC593502-E,2591,212,10/10/2015
999-AYC593502-E,697,212,10/10/2015
999-AYC595256-E,198,212,10/10/2015
999-AYC595259-E,602,212,10/10/2015
999-AYC595263-E,348,212,10/10/2015
999-AYC595265-E,73,212,10/10/2015
999-AYC595265-E,3585,212,10/10/2015
999-AYC595500-E,67,212,10/10/2015
999-AYC595502-E,95,212,10/10/2015
999-AYC595504-E,83,212,10/10/2015
999-AYC595504-E,143,212,10/10/2015
999-AYC825502-E,15,212,10/10/2015
999-AYCB93504-E,47,212,10/10/2015
999-AYCGA3250-E,138,212,10/10/2015
999-AYCGA3502-E,495,212,10/10/2015
999-AZC000004-E,142,212,10/10/2015
999-AZC000004-E,237,212,10/10/2015
999-BAA000005-E,83,212,10/10/2015
999-BAC000002-E,387,212,10/10/2015
999-BAC000004-E,29,212,10/10/2015
999-BAC000004-E,50,212,10/10/2015
999-BCC000002-E,49,212,10/10/2015
999-BCC000013-E,143,212,10/10/2015
999-BEC000026-E,100,212,10/10/2015
999-BEC000120-E,93,212,10/10/2015
999-BEC000161-E,11,212,10/10/2015
999-BEC000166-E,24,212,10/10/2015
999-BEC000192-E,276,212,10/10/2015
999-BEC000208-E,122,212,10/10/2015
999-BEC000220-E,97,212,10/10/2015
999-BGC000012-E,37,212,10/10/2015
999-BGC000025-E,75,212,10/10/2015
999-BGC000057-E,124,212,10/10/2015
999-BJC000011-E,125,212,10/10/2015
999-BKC000014-E,16,212,10/10/2015
999-BKC000014-E,21,212,10/10/2015
999-BKC000016-E,126,212,10/10/2015
999-BLC000001-E,115,212,10/10/2015
999-BOC000001-E,119,212,10/10/2015
999-BOC000007-E,29,212,10/10/2015
999-BOC000007-E,92,212,10/10/2015
999-BPC000008-E,87,212,10/10/2015
999-BPC000018-E,108,212,10/10/2015
999-BPC000019-E,97,212,10/10/2015
999-BPC000041-E,60,212,10/10/2015
999-BPC000041-E,426,212,10/10/2015
999-BPC000110-E,87,212,10/10/2015
999-BPC000117-E,124,212,10/10/2015
999-BPC000130-E,19,212,10/10/2015
999-BRC000016-E,34,212,10/10/2015
999-BRC000016-E,9,212,10/10/2015
999-BRC000016-E,5,212,10/10/2015
999-BTC000006-E,9,212,10/10/2015
999-BUC000001-E,66,212,10/10/2015
999-BUC000002-E,24,212,10/10/2015
999-BUC000011-E,90,212,10/10/2015
999-BVC000037-E,81,212,10/10/2015
999-BVC000083-E,64,212,10/10/2015
999-BVC000094-E,215,212,10/10/2015
999-BVC000094-E,30,212,10/10/2015
999-BVC000094-E,365,212,10/10/2015
999-BZC000042-X,10,212,10/10/2015
999-CAC000004-E,465,212,10/10/2015
999-CAC000004-E,95,212,10/10/2015
999-CAC000053-E,21,212,10/10/2015
999-CAC000053-E,190,212,10/10/2015
999-CAC000053-E,100,212,10/10/2015
999-CAC000058-E,104,212,10/10/2015
999-CAC000058-E,5,212,10/10/2015
999-CAC000058-E,23,212,10/10/2015
999-CAC000059-E,16,212,10/10/2015
999-CAC000070-E,200,212,10/10/2015
999-CAC000100-E,10,212,10/10/2015
999-CAC000105-E,8,212,10/10/2015
999-CAC000108-E,138,212,10/10/2015
999-CAC000153-E,671,212,10/10/2015
999-CAC000154-E,19,212,10/10/2015
999-CAC000154-E,245,212,10/10/2015
999-CAC000158-E,14,212,10/10/2015
999-CAC000192-E,20,212,10/10/2015
999-CAC000193-E,26,212,10/10/2015
999-CAC000234-E,98,212,10/10/2015
999-CAC000266-E,9,212,10/10/2015
999-CAC000266-E,9,212,10/10/2015
999-CAC000279-E,46,212,10/10/2015
999-CAC000289-E,66,212,10/10/2015
999-CAC000294-E,8,212,10/10/2015
999-CAC000302-E,9,212,10/10/2015
999-CAC000333-E,335,212,10/10/2015
999-CAC000338-E,10,212,10/10/2015
999-CAC000343-E,141,212,10/10/2015
999-CAC000343-E,110,212,10/10/2015
999-CAC000345-E,31,212,10/10/2015
999-CAC000369-E,3,212,10/10/2015
999-CAC000370-E,238,212,10/10/2015
999-CAC000383-E,214,212,10/10/2015
999-CAC000384-E,50,212,10/10/2015
999-CAC000407-E,50,212,10/10/2015
999-CAC000437-E,25,212,10/10/2015
999-CAC000476-E,75,212,10/10/2015
999-CAC000487-E,5,212,10/10/2015
999-CAC000554-E,20,212,10/10/2015
999-CAC000559-E,79,212,10/10/2015
999-CAC000580-E,95,212,10/10/2015
999-CAC000608-E,16,212,10/10/2015
999-CAC000630-E,915,212,10/10/2015
999-CAC000667-E,7,212,10/10/2015
999-CAC000670-E,10,212,10/10/2015
999-CAC000683-E,20,212,10/10/2015
999-CAC000718-E,53,212,10/10/2015
999-CAC000814-E,55,212,10/10/2015
999-CAC000815-E,12,212,10/10/2015
999-CAC000815-E,52,212,10/10/2015
999-CAC000833-E,44,212,10/10/2015
999-CAC000904-E,23,212,10/10/2015
999-CAC000905-E,10,212,10/10/2015
999-CAC000958-E,19,212,10/10/2015
999-CAC000992-E,129,212,10/10/2015
999-CAC001281-E,114,212,10/10/2015
999-CBC000010-E,615,212,10/10/2015
999-CBC000055-E,21,212,10/10/2015
999-CBC000071-E,10,212,10/10/2015
999-CBCLP0002-E,6,212,10/10/2015
999-CECCAC019-M,736,212,10/10/2015
999-CECNSS001-M,383,212,10/10/2015
999-CECNSS002-M,215,212,10/10/2015
999-CECNSS011-M,13,212,10/10/2015
999-CECSCX014-M,245,212,10/10/2015
999-CECSMX017-M,19,212,10/10/2015
999-CECSMX021-M,10,212,10/10/2015
999-CECSMX022-M,22,212,10/10/2015
999-CECSPP011-M,27,212,10/10/2015
999-CECSPP008-M,50,212,10/10/2015
999-CECSPX003-M,182,212,10/10/2015
999-CECSPX006-M,288,212,10/10/2015
999-CECSPX007-M,980,212,10/10/2015
999-CECSPX007-M,57,212,10/10/2015
999-CECSPX054-M,20,212,10/10/2015
999-CECSRX011-M,14,212,10/10/2015
999-CECSRX012-M,10,212,10/10/2015
999-CECWPS005-M,530,212,10/10/2015
999-CFC000032-M,3,212,10/10/2015
999-CFC000038-M,8,212,10/10/2015
999-CFC000101-M,22,212,10/10/2015
999-CFC000102-M,292,212,10/10/2015
999-CFC000112-M,10,212,10/10/2015
999-CGC000049-M,165,212,10/10/2015
999-CIC000032-E,66,212,10/10/2015
999-CIC000054-E,9,212,10/10/2015
999-CIC000054-E,45,212,10/10/2015
999-CJC000001-E,77,212,10/10/2015
999-CJC000002-M,42,212,10/10/2015
999-CJC000003-M,44,212,10/10/2015
999-CJC000005-E,80,212,10/10/2015
999-CJC000010-E,18,212,10/10/2015
999-CJC000014-E,55,212,10/10/2015
999-CJC000017-E,35,212,10/10/2015
999-CJC000018-E,8,212,10/10/2015
999-CJC000020-E,190,212,10/10/2015
999-CJC000024-E,11,212,10/10/2015
999-CKC000029-E,45,212,10/10/2015
999-CLC000001-E,185,212,10/10/2015
999-CLC000006-E,250,212,10/10/2015
999-CLC000009-E,14,212,10/10/2015
999-CLC000009-E,180,212,10/10/2015
999-CLC000014-E,384,212,10/10/2015
999-CLC000014-E,150,212,10/10/2015
999-CLC000017-E,136,212,10/10/2015
999-CLC000023-E,27,212,10/10/2015
999-CLC000024-E,8,212,10/10/2015
999-CLC000024-E,10,212,10/10/2015
999-CLC000027-E,61,212,10/10/2015
999-CLC000051-E,79,212,10/10/2015
999-CLC000051-E,59,212,10/10/2015
999-CLC000051-E,11,212,10/10/2015
999-CLC000053-E,93,212,10/10/2015
999-CLC000059-E,106,212,10/10/2015
999-CLC000073-E,189,212,10/10/2015
999-CLC000073-E,160,212,10/10/2015
999-CLC000073-E,1110,212,10/10/2015
999-CLC000080-E,124,212,10/10/2015
999-CLC000112-E,82,212,10/10/2015
999-CLC000114-E,698,212,10/10/2015
999-CLC000123-E,98,212,10/10/2015
999-CLC000126-E,194,212,10/10/2015
999-CLC000126-E,285,212,10/10/2015
999-CLC000134-E,183,212,10/10/2015
999-CLC000137-E,122,212,10/10/2015
999-CLC000144-E,5,212,10/10/2015
999-CLC000152-E,63,212,10/10/2015
999-CLC000152-E,151,212,10/10/2015
999-CLC000159-E,30,212,10/10/2015
999-CLC000160-E,46,212,10/10/2015
999-CLC000164-E,150,212,10/10/2015
999-CLC000167-E,100,212,10/10/2015
999-CLC000170-E,82,212,10/10/2015
999-CLC000176-E,72,212,10/10/2015
999-CLC000177-E,7,212,10/10/2015
999-CLC000216-E,96,212,10/10/2015
999-CLC000224-E,60,212,10/10/2015
999-CLC000253-E,40,212,10/10/2015
