Component, Annexure Number, New Scrap
999-ACC000012-E,142,130
999-ACC000070-E,1736,276
999-ACC000071-E,1618,67
999-ACC000073-E,1843,102
999-ACC556750-E,1577,194
999-AHC000005-E,1736,87
999-AHC000006-E,1580,4
999-AIC000011-E,142,21
999-AIC000032-E,142,51
999-AIC000077-E,1618,912
999-AYC000023-E,1751,3736
999-AYC000050-E,102,434
999-AYC000200-E,1553,470
999-AYC000203-E,102,369
999-AYC000209-E,1578,363
999-AYC395514-E,32,447
999-AZC000001-E,1946,638
999-AZC000009-E,1751,271
999-BEC000143-E,1202,2
999-BEC000155-E,1762,4
999-BEC000220-E,1150,2
999-BEC000292-E,1558,3
999-BPC000026-E,1578,2
999-BVC000083-E,1150,1
999-CAC000053-E,22,11
999-CAC000105-E,34,1
999-CAC000121-E,293,3
999-CAC000189-E,1736,62
999-CAC000228-E,34,3
999-CAC000343-E,1447,4
999-CAC000383-E,1351,1
999-CKC000021-E,1740,2
999-CLC000114-E,1550,12
999-ABC000010-E,1628,198
999-ACC000046-E,102,395
999-ACC000048-E,1647,240
999-ACC000059-E,1155,377
999-ACC316028-E,102,75
999-AYC000090-E,102,4728
999-AZC000010-E,1618,303
999-BEC000120-E,1447,22
999-BGC000093-E,1611,25
999-BPC000053-E,1491,3
999-BVC000036-E,1553,5
999-BVC000086-E,1751,2
999-BVC000088-E,1657,6
999-CAC000058-E,1501,4
999-CAC000059-E,1751,6
999-CLC000077-E,1533,17
999-CLC000085-E,1680,127
999-CLC000096-E,1522,195
999-CLC000246-E,1155,65
999-CMC000030-E,1578,34
998-CPC000597-M,173,5
999-BEC000116-E,1751,1
999-BEC000322-E,1162,151
999-BPC000019-E,102,16
999-BPC000077-E,1657,29
999-BRC000016-E,102,3
130-CGC000154-M,1907,4
999-BEC000117-E,1240,13
999-BEC000144-E,1751,6
999-BPC000037-E,1610,1
999-CECSPX009-M,22,4
999-ACC000034-E,119,4
999-ACC000045-E,1550,30
999-ACC000062-E,142,32
999-ACC000122-E,1203,10
999-ACC000128-E,1736,11
999-ACC316253-E,1550,117
999-ACC8D7501-E,1558,4
999-ADC000013-E,119,4
999-AGC844501-E,1447,10
999-AIC000002-E,1447,2
999-AIC000079-E,1345,3
999-AJC000004-E,1447,1
999-AJC000030-E,142,4
999-AOC000003-E,1199,1
999-AOC000038-E,119,7
999-ARC000011-E,1530,4
999-AXC000011-E,1751,4
999-AXC000085-E,161,11
999-AXC800003-E,1447,4
999-AYC000012-E,1597,94
999-AYC000019-E,1597,137
999-AYC000068-E,33,141
999-AYC000152-E,31,103
999-AYC000349-E,1533,149
999-AYC393501-E,102,347
999-AYC393515-E,152,139
999-AYC395007-E,120,146
999-AYC395265-E,102,44
999-AYC395267-E,1522,46
999-AYC825502-E,1553,1
999-BAA000005-E,120,11
999-BCC000004-E,1740,16
999-BEC000177-E,1856,2
999-BEC000259-E,1762,3
999-BGC000053-E,1740,4
999-BKC000016-E,1740,4
999-BPC000114-E,1740,57
999-BPC000117-E,1762,11
999-BVC000007-E,1751,2
999-BVC000046-E,1647,25
999-CAC000008-E,1530,4
999-CAC000294-E,1199,2
999-CAC000302-E,1199,1
999-CAC000487-E,161,1
999-CAC000659-E,1740,4
999-CJC000012-E,1522,2
999-CLC000002-E,1799,93
999-CLC000024-E,1447,1
999-CLC000035-E,1597,41
999-CLC000051-E,1447,7
999-CLC000073-E,161,28
999-CLC000076-E,19,40
999-CMC000026-E,1386,12
999-CMCT00050-E,1243,1
999-ABC000005-E,1735,347
999-ACC000022-E,1736,280
999-ACC000026-E,1751,417
999-ACC000039-E,283,224
999-ACC000103-E,1578,138
999-ACC000106-E,1735,245
999-ACC315501-E,293,110
999-ACC316505-E,33,13
999-ADCD87751-E,173,555
999-AIC000023-E,30,2
999-AIC000042-E,1736,16
999-AJC000017-E,1611,54
999-AYC000010-E,1563,284
999-AYC395263-E,1578,141
999-AYC395266-E,1478,93
999-AYC395273-E,1482,4
999-AYC395276-E,33,34
999-AYC395502-E,152,2415
999-AYC395520-E,1611,84
999-AYC395522-E,1577,233
999-AYC395536-E,1618,81
999-AYCB93502-E,30,134
999-AYCB93504-E,292,378
999-AYCF15001-E,32,202
999-AZC000005-E,1578,1009
999-AZC000008-E,1577,122
999-BBC000091-E,1202,12
999-BEC000026-E,1632,12
999-BEC000080-E,1594,2
999-BEC000093-E,1579,2
999-BEC000107-E,1610,6
999-BKC000008-E,1202,1
999-BKC000014-E,29,2
999-BVC000002-E,1618,2
999-CAC000161-E,1453,1
999-CAC000286-E,1523,8
999-ACC000053-E,1553,331
999-CECSPX007-M,1907,24
999-CAC000580-E,1147,3
999-CAC000814-E,1203,2
999-CAC000815-E,1203,1
999-CLC000014-E,1629,1
999-CLC000177-E,1833,43
999-CLC000180-E,19,199
999-CLC000250-E,1202,130
999-CMC000027-E,1351,8
999-ACC000189-E,1736,251
999-AXC000045-E,30,12
999-AYC000011-E,1577,40
999-AYC000052-E,1553,77
999-AYC000117-E,1203,33
999-AYC000127-E,1578,127
999-AYC000133-E,30,6
999-AYC000136-E,152,97
999-AYC000266-E,1577,84
999-AYC000360-E,1611,58
999-AYC000373-E,1618,95
999-AYC395250-E,1553,179
999-AYC395254-E,1550,681
999-AYC395262-E,1751,134
999-AYC595265-E,283,63
999-AYC855502-E,1447,3
999-BEC000075-E,1611,3
999-BEC000147-E,120,16
999-BEC000152-E,1946,5
999-BGC000052-E,1523,9
999-BVC000108-E,1533,1
999-CBC000028-E,1740,265
999-CLC000001-E,1563,73
999-CLC000059-E,1618,5
999-CLC000084-E,152,70
999-CLC000134-E,33,1
999-CLC000139-E,1203,51
999-CLC000144-E,157,1
999-CLC000377-E,1203,10
999-ACC000031-E,120,67
999-ACC000191-E,1736,27
999-ACC316506-E,1577,23
999-ALC000003-E,1210,2
999-AOC000036-E,142,2
999-AYC000042-E,1210,155
999-AYC000135-E,1210,7
999-AYC395293-E,1578,137
999-AYC595502-E,1210,1
999-AZC000004-E,69,1957
999-BGC000035-E,1680,2
999-CAC000021-E,34,7
999-CLC000013-E,1495,40
999-CLC000053-E,1529,7
999-CLC000123-E,1210,6
110-CCA000011-M,22,1
998-BZA000189-X,1337,1
998-CPC000159-M,161,36
999-BZC000042-X,283,360
999-CECNSS001-M,22,2
999-CECSMX012-M,1337,3
999-CFC000020-M,31,2
999-CFC000021-M,293,4
999-CFC000022-M,161,5
999-CGC000049-M,1907,1
999-ACC000018-E,1453,16
999-ACC000021-E,1214,27
999-ACC000037-E,283,89
999-ACC000041-E,1447,76
999-ACC000075-E,1553,93
115-PCC000009-E,1668,1
998-CPC000011-M,293,281
998-CPC000086-M,1907,1
998-CPC000668-M,1938,5
998-CPC000673-M,1938,20
110-CCA000006-M,1221,18
141-CCA000015-M,1946,1
999-CECSPX049-M,293,94
999-ADC000015-E,119,35
999-ARC000009-E,1348,3
999-AXC000046-E,1223,10
999-AXC000064-E,1578,24
999-AYC000096-E,1447,42
999-AYC000158-E,1223,9
999-AYC000175-E,1223,21
999-AYC000182-E,293,39
999-BRC000020-E,120,20
999-ACC315250-E,1453,94
999-ACC326501-E,1611,63
999-AHC916001-E,119,135
999-AYC000051-E,283,84
999-AYC000122-E,283,616
999-AYC000130-E,1447,112
999-AYC000199-E,33,78
998-CPC000595-M,161,9
999-ACC757504-E,142,66
999-ADC000026-E,1453,2
999-AEC000004-E,142,9
999-AIC000090-E,1901,195
999-AOC000034-E,1501,2
999-AXC000048-E,1610,13
999-AYC000062-E,1594,134
999-AYC000063-E,1227,37
999-AYC000114-E,292,164
999-AYC000173-E,292,658
999-CLC000160-E,1347,4
999-BBC000020-E,292,1
999-CJC000010-E,1447,2
999-CLC000112-E,1533,7
999-AIC000061-E,34,1
999-AJC000021-E,1523,2
999-AXC000060-E,1523,16
999-AXC000061-E,1447,4
999-AXC000089-E,1447,2
999-AYC000267-E,1239,32
999-AYCB93251-E,283,173
999-BAA000001-E,34,3
999-CLC000158-E,1522,1
999-CLC000159-E,1351,6
999-AYC395291-E,1522,133
999-CAC000268-E,293,257
999-AYC000149-E,1618,28
999-AYC395519-E,30,85
999-AYC395526-E,283,55
999-AYC595501-E,292,17
999-BEC000208-E,1447,2
999-CLC000027-E,1241,14
999-CLC000137-E,1578,5
999-CLC000155-E,152,6
999-CLC000170-E,1553,30
999-COC000012-E,1356,4
999-AXC000058-E,119,19
999-AYC393507-E,1559,52
999-CHC000006-X,31,290
999-BUC000002-E,28,96
998-CPC000740-M,1907,14
998-CPC000053-M,1938,3
998-CPC000054-M,161,3
998-CPC000092-M,1938,23
998-CPC000162-M,1907,180
999-CECSCX045-M,1337,2
999-CAC000418-E,1522,1
999-BGC000012-E,28,5
999-ACC000006-E,32,8
999-CAC000328-E,1447,39
999-ACC316503-E,1453,7
999-AYC000262-E,1611,143
999-CLC000115-E,1578,128
999-AHC926750-E,1901,75
999-ACC315027-E,142,98
999-AYC000111-E,1563,32
999-AYC000126-E,152,28
999-BPC000015-E,1478,31
999-AYC000282-E,152,51
999-BEC000139-E,1495,2
999-CAC000100-E,1609,2
999-CAC000106-E,1495,3
999-CAC000158-E,152,15
999-CBC000049-E,152,1202
998-CPC000091-M,1938,5
998-BBC000002-E,142,2
999-AOC000033-E,142,90
999-AYC000067-E,152,11
999-AYC000188-E,152,39
999-BBC000028-E,152,16
999-CLC000161-E,152,28
999-BGC000066-E,152,6
999-BRC000030-E,1639,2
999-CLC000182-E,173,2
999-ACC000002-E,1495,897
999-BPC000008-E,1495,7
999-BPC000048-E,152,2
999-CLC000009-E,29,47
999-CLC000078-E,28,1
999-CLC000081-E,1563,3
999-ACC000089-E,1611,94
999-AYC000132-E,1628,13
999-CAC000070-E,1563,1
999-ACC000054-E,119,206
999-BEC000165-E,157,29
999-BVC000075-E,69,1
999-AYC000124-E,1563,340
999-CAC000154-E,1563,9
999-ACC516751-E,119,11
999-AYC000036-E,1563,298
999-CAC000476-E,28,5
999-CIC000054-E,1647,2
999-CLC000007-E,1563,3
999-AYC000113-E,120,3
999-BPC000018-E,1611,17
999-AYC000142-E,1558,2
999-AYC393506-E,30,17
999-ACC000094-E,1594,340
999-AIC000074-E,1563,97
999-AYC000112-E,1559,2
999-AYC000116-E,1559,2
999-ACC000304-E,1563,48
999-ACC000372-E,1563,57
999-ACC000383-E,1563,36
999-ACC000387-E,1563,108
999-ACC000403-E,1563,22
999-AYC000009-E,1578,92
999-AYC000194-E,1579,107
999-AYC000526-E,1563,90
999-AYC393251-E,1618,51
999-BTC000006-E,1751,3
999-BVC000079-E,1628,1
999-AYC000005-E,293,47
999-AYC000141-E,1580,6
999-BPC000047-E,1609,13
999-AYC000283-E,1577,3
999-CECSMX020-M,1577,1
999-CECSPX003-M,22,19
999-CECWPS000-M,22,70
999-CFC000032-M,1577,1
999-CMC000032-E,1578,5
999-CJC000018-E,157,2
999-BEC000151-E,1639,8
999-CAC000254-E,1751,2
999-CAC000630-E,1751,10
998-CPC000319-M,1907,5
998-AOC000021-E,293,5
999-ACC000222-E,22,3
999-BEC000052-E,33,65
999-CECSMX007-M,293,10
999-CECSPX010-M,22,16
999-CECWPS016-M,22,30
998-BBC000019-E,136,22
999-AIC000013-E,28,11
999-CLC000052-E,28,5
999-CLC000426-E,28,2
999-AYC000319-E,29,39
999-AYC000350-E,293,33
999-AYC000098-E,30,6
999-AYC000148-E,30,10
999-AYC000400-E,30,26
999-AYC000452-E,30,26
999-AYC000456-E,30,26
999-AYC595251-E,30,17
999-BVC000005-E,30,5
103-CDC000003-M,31,30
203-CDC000016-M,31,40
998-BZA000283-X,31,1
998-CFA000005-M,161,1
998-CFC000023-M,31,2
999-AYC000161-E,31,5
999-AYC000327-E,293,135
999-CFC000091-M,31,5
999-AYC000146-E,32,13
999-AYC395289-E,32,40
999-ACC000056-E,33,26
999-AXC000017-E,33,2
999-AXC000128-E,33,20
999-AYC000128-E,33,15
999-AYC000287-E,33,30
999-AYC000366-E,33,4
999-AYC393504-E,33,8
999-AYC595263-E,293,78
999-BHC000002-E,33,12
999-CLC000116-E,33,3
999-ALC000001-E,119,1
999-AXC000113-E,34,26
999-AYC000534-E,34,26
999-CAC000210-E,34,5
999-ADC000030-E,119,2
999-AYC000044-E,120,6
999-AYC000115-E,120,12
999-AYC000147-E,120,10
999-AYC000155-E,120,3
999-AYC595256-E,120,2
999-BEC000053-E,136,1
999-CAC000125-E,120,2
999-CBC000053-E,120,1
998-CPC000014-M,161,33
998-CPC000224-M,173,13
999-CLC000287-E,173,10
999-BGC000062-E,225,1
999-ACC000013-E,1479,279
999-ACC000013-E,142,492
999-ACC000038-E,283,61
999-ACC000120-E,32,128
999-ACC000068-E,32,321
999-ACC000083-E,292,227
999-ACC315503-E,142,2132
999-ACC316252-E,1453,35
999-AYC000028-E,1579,236
999-AYC000035-E,292,43
999-AYC000163-E,292,294
999-AYC000325-E,1961,174
999-AYC395255-E,120,310
999-AYC395275-E,30,20
999-AYC395518-E,1553,303
999-ACC757501-E,292,200
999-AYC000014-E,292,139
999-AYC000073-E,1618,115
999-AYC815251-E,152,654
999-AYCGA3505-E,293,231
999-ACC000123-E,1735,82
999-ACC315026-E,1577,123
999-AIC000007-E,30,311
999-AYC000006-E,292,331
999-AYC393516-E,120,253
999-AYCGA3255-E,1558,12
999-ACC000066-E,157,31
999-AIC000128-E,292,237
999-AYC000046-E,292,225
999-AYC000054-E,283,144
999-AYC000254-E,30,117
999-AYC000318-E,30,227
999-AYC000464-E,292,125
999-AYC000477-E,1137,15
999-AYC000201-E,1144,245
999-AYC000208-E,1144,330
999-AYC000215-E,1618,205
999-AYC000219-E,1144,126
999-AYC000300-E,1144,11
999-AYC395509-E,34,148
999-ACC000093-E,1145,21
999-ACC000126-E,1145,10
999-ACC000238-E,1145,22
999-AXC000009-E,1145,9
999-AXC000039-E,1145,119
999-AYC000039-E,1145,47
999-AYC000070-E,152,15
999-AYC000213-E,1145,330
999-AYC000223-E,1145,565
999-AYC000234-E,1145,56
999-AYC000348-E,1145,27
999-AYC000444-E,1145,40
999-AYC393508-E,102,179
999-AYCB93501-E,1447,18
999-ACC000390-E,142,50
999-ACC316501-E,293,427
999-ACC316751-E,1447,50
999-AIC000012-E,283,23
999-AXC000044-E,1550,30
999-AYC000037-E,1628,188
999-AYC000138-E,1453,679
999-AYC000316-E,1494,541
999-ACC556750-E,1577,219
999-AYC000209-E,1578,516
999-ACC000059-E,1155,397
999-AIC000002-E,1447,36
999-AXC000085-E,161,14
999-AYC000012-E,1597,301
999-AYC000068-E,33,184
999-AYC395267-E,1522,72
999-ACC000022-E,1736,329
999-ACC000103-E,1578,154
999-AYC395536-E,1618,90
999-AYCB93504-E,292,394
999-AXC000045-E,30,20
999-AYC000117-E,1203,41
999-AYC000135-E,1210,23
999-AYC595502-E,1210,7
999-ACC000018-E,1453,29
999-ACC000021-E,1214,41
999-ACC000041-E,1447,85
999-ACC000075-E,1553,101
999-AXC000064-E,1578,30
999-AYC000096-E,1447,50
999-AYC000158-E,1223,18
999-AYC000175-E,1223,29
999-ACC315250-E,1453,103
999-AYC000051-E,283,97
999-AYC000130-E,1447,120
999-AYC000199-E,33,91
999-AIC000090-E,1901,207
999-AXC000048-E,1610,25
999-AYC000062-E,1594,142
999-AYC000063-E,1227,45
999-AXC000060-E,1523,23
999-AYC000267-E,1239,42
999-AYC395291-E,1522,165
999-AYC000149-E,1618,40
999-AXC000058-E,119,33
999-AYC393507-E,1559,60
999-ACC315027-E,142,109
999-AYC393506-E,30,32
999-ACC000304-E,1563,52
999-ACC000372-E,1563,65
999-ACC000383-E,1563,40
999-ACC000387-E,1563,128
999-ACC000403-E,1563,26
999-AYC000526-E,1563,94
999-AYC000319-E,29,56
999-AYC000400-E,30,40
999-AYC000452-E,30,40
999-AYC000456-E,30,40
999-ACC000056-E,33,40
999-AYC000287-E,33,44
999-AYC000366-E,33,30
999-AYC393504-E,33,60
999-AXC000113-E,34,40
999-AYC000534-E,34,40
999-ACC000072-E,1494,127
999-ACCE17751-E,1345,2
999-AIC000008-E,1579,44
999-AYC000339-E,1238,482
999-ACC000100-E,22,602
999-AIC000030-E,1493,4
999-AIC000065-E,1099,3
999-AIC000065-E,1577,13
999-AXC000080-E,1609,4
999-ACC315001-E,1479,117
999-ACCH27001-E,1550,6
999-ACC000003-E,1553,13
999-AYC000061-E,1224,95
999-AYC000205-E,1224,42
999-ACC000035-E,1559,281
999-ACC000314-E,1563,29
999-AYC000216-E,1559,939
999-AYC000251-E,1579,25
999-AYC395504-E,1580,237
999-AXC000023-E,1495,16
999-AXC000023-E,297,5
999-AYC000218-E,1632,6
999-AYC000214-E,1347,40
999-ACC000187-E,1202,63
999-AIC000026-E,1117,44
999-AXC000049-E,1351,3
999-ACC318501-E,1345,129
999-AYC395750-E,1493,36
999-AXC000035-E,1618,4
999-AYC393250-E,1618,123
999-AYC395002-E,1618,69
999-ACC000092-E,1597,296
999-AIC000051-E,1597,9
999-AYC000053-E,1597,78
999-AYC393001-E,1597,30
999-ACC000008-E,1611,6
999-ACC316026-E,1478,54
