Component, Received From Tejas, Consumption, Scrap, Balance, Returned Quantity, Returned Accounted Quantity, Unaccounted Return Quantity, Is Balancing, Remaining Rows in Results, Balance In Annexure,,Scrap+Balance-Unnacc,
999-ACC757503-E,2517,1900,149,0,468,468,0, true,0,1736,,,
999-ACCC57751-E,1238,990,41,3,230,204,26, true,0,34,,18,-23
999-AHC916751-E,41037,7534,696,0,32807,32807,0, true,0,32,,,
999-AIC000001-E,2884,1214,76,0,1594,1594,0, true,0,1553,,,
999-AIC000005-E,3104,2929,130,27,112,18,94, true,0,119,,63,-67
999-AIC000016-E,6652,4571,217,1864,1876,0,1876, true,0,30,,205,-12
999-AIC000026-E,8999,6650,290,311,2305,1748,557, true,0,1808,,44,-246
999-AIC000046-E,2300,1900,92,4,344,304,40, true,0,30,,56,-36
999-AIC000092-E,490,475,15,0,0,0,0, true,0,1223,,,
999-ARC000005-E,600,495,4,0,101,101,0, true,0,1735,,,
999-AXC000003-E,4008,3121,157,382,887,348,539, true,0,119,,0,-157
999-AXC000013-E,5864,4953,276,0,635,635,0, true,0,152,,,
999-AXC000023-E,4915,4325,190,110,557,290,267, true,0,297,,33,-157
999-AYC000014-E,5410,4432,328,0,650,650,0, true,0,33,,,
999-AYC000073-E,1570,1049,153,0,368,368,0, true,0,1116,,,
999-AYC000074-E,1002,475,117,0,410,410,0, true,0,1453,,,
999-AYC393250-E,7437,5578,308,1449,1589,102,1487, true,0,1618,,270,-38
999-AYC395252-E,38456,29158,1364,650,8382,7284,1098, true,0,1751,,916,-448
999-AYC395259-E,206784,100869,3196,2507,113202,100212,12990, true,0,152,,-7287,
999-AYC395521-E,11911,4224,209,4290,7516,3188,4328, true,0,292,,171,-38
999-AYC595259-E,4170,3385,188,597,602,0,602, true,0,293,,183,-5
999-AYC595750-E,8968,2130,164,6674,6864,0,6864, true,0,30,,-26,
999-AYC815251-E,4202,1246,733,0,2223,2223,0, true,0,33,,,
999-AYCGA3251-E,1510,1190,130,0,190,190,0, true,0,33,,,
999-AYCGA3252-E,939,495,302,0,142,142,0, true,0,1559,,,
999-AYCGA3502-E,4515,3567,263,0,685,685,0, true,0,32,,,
999-AYCGA3503-E,1100,495,111,0,494,494,0, true,0,30,,,
999-AYCGA3504-E,3003,2475,121,374,857,33,824, true,0,30,,-329,
999-AYCGA3505-E,1410,990,280,0,140,140,0, true,0,33,,,
999-AYCGA3508-E,800,495,206,0,99,99,0, true,0,1558,,,
999-AYCGA5002-E,800,495,120,0,185,185,0, true,0,1580,,,
999-BCC000001-E,8173,5465,0,1906,2721,802,1919, true,0,152,,-13,
999-BEC000148-E,1210,1163,42,0,5,5,0, true,0,1529,,,
999-BHC000001-E,9120,4560,140,0,4420,4420,0, true,0,33,,,
999-BVC000167-E,550,475,22,0,53,53,0, true,0,1249,,,
999-CAC000345-E,496,475,0,21,31,0,31, true,0,1116,,-10,
999-CAC000436-E,652,589,23,0,40,40,0, true,0,1751,,,
999-CAC000498-E,1027,950,12,0,65,65,0, true,0,1240,,,
