TPN,Description,115-PCA000007-E   F16S,115-PCA000037-E   PSM02,103-PCA000027-E   PSU,104-PCA000001-E     AC-DC,115-PCA000039-E    A162,115-PCA000084-E   ELAN01,130-PCA000207-E   ELAN04,140-SKU000004-P,141-PCA000002-E    ST63,141-PCA000024-E    ELAN10,170-PCA000002-E   FTU,170-PCA000003-E    OAM,170-PCA000084-E    PFU3,170-PCA000256-E    OFA,170-PCA000003-E    OAM,170-PCA000084-E    PFU3,130-PCA000207-E   ELAN04,104-PCA000001-E     APASU03,104-PCA000002-E  DPSU03,104-PCA000003-E  P02FP,104-PCA000004-E CP8E,170-PCA000002-E   FTU,170-PCA000002-E   FTU,170-PCA000084-E    PFU3,170-PCA000003-E    OAM,160-PCA000049-L,130-PCA000207-E   ELAN04,115-PCA000084-E   ELAN01,104-PCA000025-E,170-PCA000002-E   FTU,170-PCA000003-E    OAM,170-PCA000084-E    PFU3,104-PCA000002-E  DPSU03,115-PCA000037-E   PSM02,104-PCA000003-E  P02FP,001-PCA000062-E  BBT2,130-PCA000205-E DPU12,103-PCA000027-E PSU,103-PCA000036-E LTC8,115-PCA000039-E A162,170-PCA000256-E OFA,141-PCA000002-E ST63
130-CGC000154-M,STICKER INSULATION ELAN04-TJ100ME,,,,,,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,
130-PCC000021-E,"Bareboard part for ESER01, daughter card of ELAN01, RoHS",,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
130-PCC000029-E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130-PCC000049-E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
130-PCC000053-E,"Bareboard ELAN01R3, ELAN02R3 2xGigE Opt 8x10/100 Elec",,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
140-CDA000014-M,FTU TRAY ASSEMBLY-TJ1405,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140-CDA000016-M,Trib Filler Assembly - TJ1405,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140-CDA000026-M,Filter Tray Assy - TJ1405R2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140-CDA000030-M,Enclosure Assembly - TJ1405R2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140-CDC000014-M,Stiffener for TJ1405 BP,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140-CDC000042-M,Air Filter - TJ1405R2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140-CGC000001-M,Sticker Main for TJ1405,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140-CGC000002-M,Sticker for Filter - TJ1405,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140-CGC000004-M,Fan Tray Sticker - TJ1405,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140-CGC000009-M,Trib Filler Sticker- TJ1405,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140-CGC000020-M,Slot Numbering Sticker - TJ1405R1.1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140-PCC000001-E,EPXAT Card Bare borad part for TJ1405,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140-PCC000002-E,Bare Board part of STE1_DC (E1 Daughter card for TJ1405 system),,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140-PCC000004-E,Bare borad part of TJ1405FTU Card for TJ1405,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140-PCC000009-E,TJ1405RBP bare board for TJ1405 full depth chassis,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141-CCA000003-M,FACE PLATE ASSY ST63E1-TJ1410,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
141-CCA000015-M,FACE PLATE ASSY OF ELAN10 FOR TJ1410,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141-CGC000003-M,STICKER ST63E1 TJ1410,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
141-CGC000021-M,STICKER OF CEF-1 FOR TJ1410,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141-CGC000022-M,STICKER CARD INSULATION-TJ1410,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141-PCC000001-E,Bareboard part for ELAN10,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141-PCC000011-E,Bareboard part for ST63E1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
160-CDC000049-M,"EMI GASKET, LOW COMPRESSION FORCE -11 FINGERS",,,,,,,1,,,,,,,1,,,1,,,,,,,,,,1,,,,,,,,,,,,,,1,
160-CDC000064-M,"EMI GASKET, LOW COMPRESSION FORCE-5 FINGERS",,,,,,,,,,,,1,,1,1,,,,,,,,,,1,,,,,,1,,,,,,1,,,,1,
160-CDC000065-M,"EMI GASKET, LOW COMPRESSION FORCE-4 FINGERS",,,,,,,,,,,,,1,1,,1,,,,,,,,1,,,,,,,,1,,,,,,,,,1,
160-CDC000068-M,"EMI GASKET, LOW COMPRESSION FORCE-7 FINGERS",,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
160-PCC000002-E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160-PCC000042-E,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
170-CCA000005-M,OAM FACE PLATE ASSY-TJ1600C,,,,,,,,,,,,1,,,1,,,,,,,,,,1,,,,,,1,,,,,,,,,,,
170-CCA000022-M,PFU3 FACE PLATE ASSY-TJ1600C,,,,,,,,,,,,,1,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,,,
170-CCA000032-M,FACE PLATE ASSY FOR OFA OF TJ1600-6,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
170-CCA000033-M, FRONT FACE ASSY OF FILLER FOR OSCF,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
170-CDA000010-M,FAN TRAY ASSY-TJ1600C,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,,,
170-CDA000024-M,TOP PLATE HEAT SPREADER ASSY,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
170-CGC000005-M,STICKER HCPFTU01-TJ1600C,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,,,
170-CGC000006-M,STICKER HCPOAM01-TJ1600C,,,,,,,,,,,,1,,,1,,,,,,,,,,1,,,,,,1,,,,,,,,,,,
170-CGC000041-M,STICKER PFU3-TJ1600C,,,,,,,,,,,,,1,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,,,
170-CGC000051-M,STICKER TJ1600,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,,,
170-CGC000056-M,STICKER FOR OFA TJ1600-6,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
170-CGC000058-M,Insulation Left,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
170-CGC000059-M,Insulation Right,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
170-CGC000098-M,FILLER STICKER FOR OSCF,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
170-PCC000003-E,"TJ1600C-OAM , Bare board for TJ1600C-OAM card",,,,,,,,,,,,1,,,1,,,,,,,,,,1,,,,,,1,,,,,,,,,,,
170-PCC000016-E,Bareboard part for the LED board of TJ1600C-OAM card.,,,,,,,,,,,,1,,,1,,,,,,,,,,1,,,,,,1,,,,,,,,,,,
170-PCC000019-E,Bareboard of TJ1600CFTU2 - Fan tray unit for TJ1600C,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,,,
170-PCC000043-E,"Bare Board Part for PFU3, TJ1600C-R2 48V 55A filter unit ",,,,,,,,,,,,,1,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,,,
170-PCC000065-E,Optical Fiber Amplifier  for Tj1600-x,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
201-CCA000017-M,FACE PLATE ASSY MC4L-ELAN01 RoHS,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
203-CDA000002-M,PSU PANEL ASSY-MC1 CONVERGENCE,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
203-CDA000003-M,PSU RIGHT GUIDE ASSY-MC1 CONVERGENCE,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
203-CDA000004-M,PSU LEFT GUIDE ASSY-MC1 CONVERGENCE,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
203-CDA000023-M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
203-CDC000016-M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
203-CGC000003-M,STICKER PSU-MC1 CONVERGENCE,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
203-CGC000018-M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
401-PCC000007-E,"Bareboard of CE02, a Network processor based Carrier Ethernet blade, with 4 copper (10/100/1000 base-T) and 4 optical (GE) client ports.",,,,,,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,
404-PCC000004-E,RSER02 card for TJ2031/2051 systems,,,,,,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,
998-AOC000020-E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
998-AOC000021-E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
998-BBC000002-E,Transformer 230uH PQ2625 TH Vertical 60W 18A,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,
998-BBC000004-E,"Transformer 300uH, 250W PQ2625 core copper foil conductor TH",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
998-BBC000006-E,Transformer 10mH PQ2625 TH Vertical 65W 18A,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,
998-BBC000014-E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
998-BBC000019-E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
998-BZA000189-X,CONNECTORISED FAN ASSY-MC16X,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
998-BZA000283-X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
998-BZA000358-X,CABLE ASSY 5mm LED PANEL MOUNT RED-GREEN BI COLOR 385mm,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
998-BZA000645-X,CONNECTORISED FAN ASSY PSM2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
998-BZA000769-X,CABLE ASSEMBLY POWER LED-TJ1700,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,,,
998-BZA000857-X,"CONECTORISED FAN ASSY, 4 WIRE, 92X92x38 FOR TJ1700",,,,,,,,,,,6,,,,,,,,,,,6,6,,,,,,,6,,,,,,,,,,,,
998-BZA000966-X,CONNECTORISED 4 WIRE 38X38X20 FAN ASSY,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
998-CDC000017-M,LATCH HANDLE 27.5 x15x7,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
998-CECSPP012-M,SPACER 6 HEX M3x18.7,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
998-CECSPP013-M,SPACER 6 HEX M3x20.0,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
998-CFA000005-M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,
998-CFA000006-M,HEAT SINK ASSY-DPU9,,,,,,,,,,,,,5,,,5,,,,,,,,5,,,,,,,,5,,,,,,,,,,
998-CFC000001-M,Heatsink HalfBrick 3U,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
998-CFC000023-M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
998-CFC000024-M,HEATSINK PSM2-REV 2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,
998-CFC000030-M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
998-CFC000031-M,HEAT SINK-DPU9,,,,,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,0,,,,,1,,,,,
998-CIC000008-E,Foam EMI Gasket for single LFH Connector,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
998-CPC000011-M,DUST CAP-MALE 3V3,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,1,,,,,
998-CPC000014-M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,
998-CPC000048-M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
998-CPC000049-M,ANTISTATIC BAG PSU-MC1 CONVERGENCE,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
998-CPC000051-M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
998-CPC000052-M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
998-CPC000053-M,PACKING CUSHION PSU-MC1 CONVERGENCE,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
998-CPC000054-M,PACKING CUSHION TOP PSU-MC1 CONVERGENCE,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
998-CPC000057-M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
998-CPC000058-M,PACKING BOX PSU-MC1 CONVERGENCE,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
998-CPC000066-M,SILICA GEL POUCH-5g,,1,1,,1,1,1,6,1,1,1,1,1,1,1,1,1,,,,,1,1,1,1,,1,1,,1,1,1,,1,,1,1,1,2,1,1,1
998-CPC000067-M,SILICA GEL POUCH-100g,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
998-CPC000068-M,ESD WARNING STICKER,,1,1,,1,1,1,6,1,1,1,1,1,1,1,1,1,,,,,1,1,1,1,,1,1,,1,1,1,,1,,1,1,1,1,1,1,1
998-CPC000085-M,ANTISTATIC BAG MFC-MC4L,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
998-CPC000086-M,ANTISTATIC BAG TRIB CARD-MC4L,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,
998-CPC000091-M,PACKING CUSHION TRIB CARD-MC4L,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,
998-CPC000092-M,PACKING CUSHION TOP TRIB CARD-MC4L,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,
998-CPC000095-M,PACKING BOX TRIB CARD-MC4L,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,
998-CPC000097-M,ANTISTATIC BAG TRIB CARD-OME6110,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
998-CPC000132-M,ANTISTATIC BAG-E1 PROTECTION,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,,,
998-CPC000136-M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
