TPN,Description,115-PCA000007-E   F16S,115-PCA000037-E   PSM02,103-PCA000027-E   PSU,104-PCA000001-E     AC-DC,115-PCA000039-E    A162,115-PCA000084-E   ELAN01,130-PCA000207-E   ELAN04,140-SKU000004-P,141-PCA000002-E    ST63,141-PCA000024-E    ELAN10,170-PCA000002-E   FTU,170-PCA000003-E    OAM,170-PCA000084-E    PFU3,170-PCA000256-E    OFA,170-PCA000003-E    OAM,170-PCA000084-E    PFU3,130-PCA000207-E   ELAN04,104-PCA000001-E     APASU03,104-PCA000002-E  DPSU03,104-PCA000003-E  P02FP,104-PCA000004-E CP8E,170-PCA000002-E   FTU,170-PCA000002-E   FTU,170-PCA000084-E    PFU3,170-PCA000003-E    OAM,160-PCA000049-L,130-PCA000207-E   ELAN04,115-PCA000084-E   ELAN01,104-PCA000025-E,170-PCA000002-E   FTU,170-PCA000003-E    OAM,170-PCA000084-E    PFU3,104-PCA000002-E  DPSU03,115-PCA000037-E   PSM02,104-PCA000003-E  P02FP,001-PCA000062-E  BBT2,130-PCA000205-E DPU12,103-PCA000027-E PSU,103-PCA000036-E LTC8,115-PCA000039-E A162,170-PCA000256-E OFA,141-PCA000002-E ST63
998-CPC000208-M,UNIT PACKING LABEL 50X100-GENERAL,,,,,,,,1,,,1,1,1,,1,1,,,,,,1,1,1,1,,,,,1,1,1,,,,,,,,,,
998-CPC000216-M,PACKING CUSHION PSM-MC16S,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
998-CPC000217-M,PACKING BOX PSM-MC16S,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
998-CPC000224-M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
998-CPC000245-M,MULTI UNIT PACKING LABEL-GENERAL,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
998-CPC000313-M,PACKING BOX FOR SYSTEM WITH FRU-TJ1210,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
998-CPC000315-M,PARTING BOARD FOR SYSTEM PACKING BOX-TJ1210,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
998-CPC000316-M,PACKING CUSHION RIB-TJ1210,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
998-CPC000317-M,PACKING CUSHION FOR SYSTEM-TJ1210,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
998-CPC000319-M,ANTISTATIC BAG ENCLOSURE-TJ1210,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
998-CPC000503-M,PACKING BOX FOR FTU-MC16 MADM,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
998-CPC000570-M,ANTISTATIC BAG 300x480,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
998-CPC000572-M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
998-CPC000595-M,PACKING CUSHION FOR PFU CARD FOR TJ1700,,,,,,,,,,,,,1,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,,,
998-CPC000596-M,PACKING CUSHION TOP FOR PFU/OAM CARD FOR TJ1700,,,,,,,,,,,,1,1,,1,1,,,,,,,,1,1,,,,,,1,1,,,,,,,,,,
998-CPC000597-M,PACKING BOX FOR PFU/OAM CARD FOR TJ1700,,,,,,,,,,,,1,1,,1,1,,,,,,,,1,1,,,,,,1,1,,,,,,,,,,
998-CPC000598-M,PACKING CUSHION FOR OAM CARD FOR TJ1700,,,,,,,,,,,,1,,,1,,,,,,,,,,1,,,,,,1,,,,,,,,,,,
998-CPC000599-M,PACKING CUSHION FOR FAN - TJ1700 ,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,,,
998-CPC000600-M,TOP CUSHION FOR FAN - TJ1700,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,,,
998-CPC000601-M,PACKING BOX FAN-TJ1700,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,,,
998-CPC000619-M,PACKING BOX ELAN04-TJ100ME,,,,,,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,
998-CPC000635-M, ,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
998-CPC000645-M,Packing cushion ELAN04-OME6130,,,,,,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,
998-CPC000668-M,PACKING CUSHION FOR XCC_TRIB-TJ1410,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
998-CPC000673-M,PACKING CUSHION TOP FOR XCC/TRIB-TJ1410,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
998-CPC000725-M,Packing cushion top for FTU - TJ1405,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
998-CPC000730-M,Packing Cushion FTU - TJ1405,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
998-CPC000740-M,PACKING BOX OF TRIB _XCC FOR TJ1410,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
998-CPC000814-M,Packing Cushion FRU - TJ1400 Full depth Chassis,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
998-CPC000952-M,PACKING CUSHION TOP FOR OFA AND ADP,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
998-CPC000953-M,PACKING CUSHION FOR OFA AND ADP,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
999-ABC000001-E,"Ferrite Bead 3A, 1206 Package, 120 ohm at 100MHz SMD",3,,,,11,21,4,22,9,7,,11,,,11,,4,,,10,19,,,,11,13,4,21,,,11,,,,10,,,,24,11,,9
999-ABC000002-E,"Ferrite Bead 100mA, 0603 Package, 1000 ohm at 100MHz SMD",,,,,,3,8,2,,,,,,,,,8,,,,,,,,,5,8,3,,,,,,,,,,,,,,
999-ABC000005-E,Ferrite Bead 60 Ohms At 100 MHz   6A SMD 1806 Chip,,,,,,2,,,,8,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
999-ABC000006-E,Ferrite Bead 600 Ohms At 100 MHz   500mA SMD 0603 Chip,,,,,6,30,52,,,19,,,,,,,52,,,,,,,,,,52,30,,,,,,,,,,,,6,,
999-ABC000007-E,Ferrite Bead 220 Ohms At 100 MHz   2A SMD 0603 Chip,,,,,34,2,25,,4,16,,,,1,,,25,,,6,,,,,,52,25,2,,,,,,,6,,,,,34,1,4
999-ABC000010-E,"Ferrite Bead, 100 Ohms @ 100MHz, 3A, Rdc=0.03 Ohms, SMD 0603",,,,,,,7,,4,2,,,,,,,7,,,,,,,,,,7,,,,,,,,,,,,,,,4
999-ACC000002-E,"Capacitor,MLCC, X7R,470nF,16V,5%,1206,SMD",,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
999-ACC000003-E,"Capacitor,MLCC, X7R,4.7nF,50V,10%,0603,SMD",,,,,2,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,2,,,,,2,,
999-ACC000006-E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999-ACC000008-E,"Capacitor,MLCC, X7R,100nF,16V,10%,0603,SMD",,,,,2,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,3,,,,,2,,
999-ACC000009-E,"Capacitor,MLCC, X7R,10nF,10V,10%,0402,SMD",,,,,6,,16,,,,,,,,,,16,,,,,,,,,,16,,,,,,,,,,,,21,6,,
999-ACC000010-E,"Capacitor,MLCC, X7R,1nF,10V,10%,0402,SMD",,,,,,8,47,,,23,,,,,,,47,,,,,,,,,10,47,8,,,,,,,,,,,,,,
999-ACC000012-E,"Capacitor,MLCC,X5R,4.7uF,16V,10%,1206,SMD",,,,,,3,2,,,1,,,,,,,2,,,3,,,,,,4,2,3,,,,,,,3,,,,,,,
999-ACC000013-E,"Capacitor,MLCC,X5R,10uF,25V,10%,1206,SMD",,,,,30,69,78,9,,14,3,18,1,1,18,1,78,,,20,28,3,3,1,18,74,78,69,,3,18,1,,,20,,8,,,30,1,
999-ACC000016-E,"Capacitor,MLCC,Y5V,100nF,10V,-20 to 80%,0402,SMD",,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232,4,,
999-ACC000017-E,"Capacitor,MLCC,Y5V,1uF,10V,20%,0603,SMD",,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,3,,,
999-ACC000018-E,"Capacitor,MLCC, X7R,100nF,100V,10%,1206,SMD",,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,
999-ACC000021-E,"Capacitor,MLCC, X7R,1nF,200V,10%,1206,SMD",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
999-ACC000022-E,"Capacitor,MLCC,X5R,10uF,25V,20%,1210,SMD",,8,,1,,1,,,1,2,,,,,,,,1,1,,,,,,,,,1,1,,,,1,8,,,,,,,,1
999-ACC000023-E,"Capacitor,MLCC,X5R,47uF,6.3V,20%,1206,SMD",,,,,5,47,29,14,12,18,3,4,,,4,,29,,,7,,3,3,,4,25,29,47,,3,4,,,,7,,,,5,5,,12
999-ACC000026-E,"Capacitor,MLCC,Y5V,100nF,10V,-20 to 80%,0402,SMD",7,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,
999-ACC000029-E,"Capacitor,MLCC, X7R,22nF,50V,10%,0612,SMD",3,,,,7,12,5,,,,,,,,,,5,,,8,9,,,,,9,5,12,,,,,,,8,,,,8,7,,
999-ACC000031-E,"Capacitor,MLCC, X7R,22nF,1KV,10%,1210,SMD",,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,
999-ACC000034-E,"Capacitor,MLCC,Y5V,X2,330nF,275V,20%,17.5x17.5x9.5,Pitch 15mm,T/H",,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,
999-ACC000035-E,"Capacitor,MLCC, X7R,470pF,100V,10%,0603,SMD",,4,,,,2,,,,4,,,,,,,,,,,,,,,,,,2,,,,,,4,,,,,,,,
999-ACC000037-E,"Capacitor,MLCC, X7R,2.2uF,100V,20%,1812,SMD",,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,1,,,,,,
999-ACC000038-E,"Capacitor,MLCC, X7R,1.5nF,200V,20%,0805,SMD",,2,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,1,,,,2,,,,,,,,
999-ACC000039-E,"Capacitor,MLCC, X7R,470pF,200V,20%,0805,SMD",,2,,1,,,,,,,,,,,,,,1,2,,,,,,,,,,1,,,,2,2,,,,,,,,
999-ACC000041-E,"Capacitor,MLCC, X7R,100nF,50V,20%,0805,SMD",,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,
999-ACC000044-E,"Capacitor,Ceramic Disc,4.7nF,2KV,20%,Dia 9mm,Pitch 5mm,T/H",,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,
999-ACC000045-E,"Capacitor,MLCC, X7R,220nF,50V,20%,0805,SMD",,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999-ACC000046-E,"Capacitor,MLCC, X7R,100pF,50V,20%,0805,SMD",,,,,1,1,1,,,,,,,,,,1,,,,,,,,,1,1,1,,,,,,,,,,,,1,,
999-ACC000048-E,"Capacitor,MLCC, X7R,4.7nF,50V,10%,0603,SMD",,2,,,,3,3,,4,,,,,,,,3,,,,,,,,,7,3,3,,,,,,2,,,,,1,,,4
999-ACC000050-E,"Capacitor,MLCC, X7R,10nF,10V,10%,0402,SMD",,,,,,136,118,,4,88,,,,,,,118,,,,,,,,,84,118,136,,,,,,,,,,,10,,,4
999-ACC000051-E,"Capacitor,MLCC, X7R,3.3nF,16V,5%,0603,SMD",,,,,,3,,,,1,,,,1,,,,,,,,,,,,2,,3,,,,,,,,,,,,,1,
999-ACC000052-E,"Capacitor,MLCC, X7R,100nF,16V,20%,0402,SMD",,,,,20,393,897,181,120,564,,,,37,,,897,,,,,,,,,173,897,393,,,,,,,,,,,34,20,37,120
999-ACC000053-E,"Capacitor,MLCC, X7R,1uF,16V,20%,0603,SMD",,1,,1,,10,49,2,3,39,,,,4,,,49,1,,,,,,,,6,49,10,1,,,,,1,,,5,,,,4,3
999-ACC000054-E,"Capacitor,MLCC, X7R,100nF,100V,10%,1206,SMD",,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,1,,,,,,
999-ACC000056-E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
999-ACC000058-E,"Capacitor,MLCC, X7R,560pF,16V,10%,0603,SMD",,,,,,1,,,,,,,,,,,,,2,,,,,,,,,1,,,,,2,,,,1,,,,,
999-ACC000059-E,"Capacitor,MLCC, X7R,2.2nF,10V,10%,0402,SMD",,,,,,,1,,,,,,,,,,1,,,,,,,,,3,1,,,,,,,,,,,,,,,
999-ACC000060-E,"Capacitor,MLCC, X7R,270nF,10V,5%,0805,SMD",,,,,,,1,1,1,,,,,,,,1,,,,,,,,,1,1,,,,,,,,,,,,,,,1
999-ACC000061-E,"Capacitor,MLCC, X7R,4.7nF,250V,10%,2220,SMD",,16,,1,,,,8,,,4,8,8,6,8,8,,1,,,,4,4,8,8,,,,1,4,8,8,,16,,,10,,,,6,
999-ACC000062-E,"Capacitor,MLCC, X7R,100nF,100V,10%,1812,SMD",,,,,,,,4,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,
999-ACC000065-E,"Capacitor,MLCC, X7R,22nF,50V,10%,1206,SMD",,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,,,
999-ACC000066-E,"Capacitor,MLCC, X7R,470pF,250V,10%,2220,SMD",,2,,,,,,,,,,,6,,,6,,,,,,,,6,,,,,,,,6,,2,,,2,,,,,
999-ACC000067-E,"Capacitor,MLCC, X7R,10nF,200V,10%,1206,SMD",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999-ACC000068-E,"Capacitor,MLCC X7R,470nF,16V,10%,0603,SMD",,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,1,,,,,,,1,,,,,
999-ACC000070-E,"Capacitor,MLCC X7R,10nF,25V,20%,0603,SMD",,,,,,,7,,,22,,,,,,,7,,,,,,,,,,7,,,,,,,,,,3,,,,,
999-ACC000071-E,"Capacitor,MLCC, X7R,1nF,25V,10%,0603,SMD",,,,,,,7,,,,,,,,,,7,,,,,,,,,,7,,,,,,,,,,,,,,,
999-ACC000072-E,"Capacitor,MLCC,X5R,22uF,16V,20%,1210,SMD",,,,,,,14,3,,,,2,,,2,,14,,,,4,,,,2,,14,,,,2,,,,,,,,,,,
999-ACC000073-E,"Capacitor,MLCC,X5R,22uF,6.3V,20%,1206,SMD",,,,,,,12,1,4,,,,,,,,12,,,,,,,,,,12,,,,,,,,,,,,,,,4
999-ACC000074-E,"Capacitor,Ceramic Disc,4.7nF,250VAC,20%,Dia 10mm,Pitch 7.5mm,T/H",,,,4,,,,,,,,,,,,,,4,5,,,,,,,,,,4,,,,5,,,,,,,,,
999-ACC000075-E,"Capacitor,MLCC, X7R,220pF,50V,10%,0603,SMD",,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,,,,,,,
999-ACC000076-E,"Capacitor,MLCC, X7R,27nF,50V,10%,0603,SMD",,1,,,,,,,,,,,1,,,1,,,,,,,,1,,,,,,,,1,,1,,1,,,,,,
999-ACC000078-E,"Capacitor,MLCC, X7R,47nF,16V,10%,0603,SMD",,,,1,,4,,,,1,,,4,,,4,,1,,,,,,4,,2,,4,1,,,4,,,,,3,,,,,
999-ACC000081-E,"Capacitor,MLCC,X5R,680nF,16V,10%,0603,SMD",,,,,,,,,64,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,64
999-ACC000083-E,"Capacitor,MLCC, X7R,100nF,100V,10%,1206,SMD",,,,,,,,1,,,2,1,1,2,1,1,,,,,,2,2,1,1,,,,,2,1,1,,,,,1,,,,2,
999-ACC000089-E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999-ACC000092-E,"Capacitor,MLCC X7R,2.2nF,10V,10%,0603,SMD",,1,,1,,,,1,,1,,,,,,,,1,,,8,,,,,,,,1,,,,,1,,,,,,,,
999-ACC000093-E,"Capacitor,MLCC, X7R,10uF,25V,10%,1812,SMD",,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999-ACC000094-E,,,,,,,,,,,,,,,,,,,,,,,,,,,63,,,,,,,,,,,,,,,,
999-ACC000095-E,"Capacitor,MLCC, X7R,100nF,200V,10%,1206,SMD",,4,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,2,4,,,1,,,,,
999-ACC000099-E,"Capacitor,MLCC, X7R,680nF,100V,10%,1210,SMD",,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999-ACC000100-E,"Capacitor,MLCC, X7R,100nF,25V,10%,0603,SMD",,52,13,12,,67,13,177,92,133,9,142,12,58,142,12,13,12,13,,,9,9,12,142,180,13,67,13,9,142,12,13,52,,8,33,13,,,58,92
999-ACC000103-E,"Capacitor,MLCC,X5R,100uF,6.3V,20%,1210,SMD",,,,,,,,19,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
999-ACC000104-E,"Capacitor,MLCC, X7R,2.7nF,25V,10%,0603,SMD",,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,
999-ACC000106-E,"Capacitor,MLCC,X5R,2.2uF,10V,10%,0603,SMD",,,,,,,,10,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999-ACC000111-E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
999-ACC000116-E,"Capacitor,Aluminium Electrolytic,680uF,10V,20%,8x15,T/H",,,,,,,,,,,,2,,,2,,,,,,,,,,2,,,,,,2,,,,,,,,,,,
999-ACC000120-E,"Capacitor,MLCC, X7R,2.2uF,100V,20%,1812,SMD",,,,,,,,2,,,4,2,8,2,2,8,,,,,,4,4,8,2,,,,,4,2,8,,,,,4,,,,2,
999-ACC000121-E,"Capacitor,MLCC, X7R,10nF,100V,10%,1812,SMD",,,,,,,,1,,,,1,,1,1,,,,,,,,,,1,,,,,,1,,,,,,,,,,1,
999-ACC000122-E,"Capacitor,MLCC, X7R,22nF,100V,20%,1812,SMD",,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999-ACC000123-E,"Capacitor,MLCC, X7R,470nF,100V,20%,1812,SMD",,,,,,,,1,,,,1,,1,1,,,,,,,,,,1,,,,,,1,,,,,,,,,,1,
999-ACC000124-E,"Capacitor,MLCC, X7R,1nF,2KV,10%,1812,SMD",,,,,,,,1,,2,,15,,,15,,,,,,,,,,15,,,,,,15,,,,,,,,,,,
999-ACC000126-E,"Capacitor,MLCC, X7R,220nF,100V,10%,1812,SMD",,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999-ACC000128-E,"Capacitor,MLCC, X7R,270nF,16V,10%,0603,SMD",,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999-ACC000134-E,"Capacitor,MLCC,X5R,4.7uF,6.3V,10%,0603,SMD",,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999-ACC000135-E,"Capacitor,MLCC, X7R,150pF,250V,20%,2220,SMD",,,,,,,,,,,,,2,,,2,,,,,,,,2,,,,,,,,2,,,,,,,,,,
999-ACC000138-E,"Capacitor,MLCC, X7R,3.3uF,10V,10%,1206,SMD",,,,2,,,,2,1,,1,3,,2,3,,,2,1,,,1,1,,3,4,,,2,1,3,,1,,,,,,,,2,1
999-ACC000142-E,"Capacitor,MLCC, X7R,100pF,25V,10%,0603,SMD",,,,,,,,,1,2,,,2,,,2,,,,,,,,2,,,,,,,,2,,,,,5,,,,,1
999-ACC000158-E,"Capacitor,MLCC, NPO,10pF,16V,+/-0.5pF,0603,SMD",,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
999-ACC000170-E,"Capacitor,Aluminium Electrolytic,10uF,250V,20%,10x20,T/H",,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,
999-ACC000172-E,"Capacitor,Aluminium Electrolytic,150uF,25V,20%,6.3x11,Pitch 2.5mm,T/H",,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,1
999-ACC000174-E,"Capacitor,MLCC, NPO,1200pF,50V,5%,0603,SMD",,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999-ACC000186-E,"Capacitor,MLCC, X7R,1uF,25V,20%,0805,SMD",,,1,,,1,,,,,,,1,,,1,,,,,,,,1,,,,1,,,,1,,,,,,1,,,,
999-ACC000187-E,"Capacitor,MLCC,X5R,22uF,10V,20%,0805,SMD",,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999-ACC000189-E,"Capacitor,MLCC,X5R,10uF,6.3V,20%,0603,SMD",,,,,,,,,,18,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
999-ACC000191-E,"Capacitor,MLCC, NPO,4.7pF,16V,10%,0603,SMD",,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999-ACC000197-E,"Capacitor,MLCC, NPO,27pF,50V,5%,0402,SMD",,,,,,,5,,,,,,,,,,5,,,,,,,,,,5,,,,,,,,,,,,,,,
999-ACC000204-E,"Capacitor,Double layer super capacitor,0.33F,5.5V,20%,Stacked coin vertical,T/H",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999-ACC000208-E,"Capacitor,MLCC, X7R,2.2uF,25V,20%,0805,SMD",,,,,,3,,,,2,,,5,1,,5,,,,,,,,5,,,,3,,,,5,,,,,4,,,,1,
999-ACC000220-E,"Capacitor,OSCON,330uF,10V,20%,Ripple current 3.7A,10x8.0,SMD",,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999-ACC000222-E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,
999-ACC000228-E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,
999-ACC000230-E,"Capacitor,MLCC,X5R,47uF,16V,20%,1210,SMD",,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,10,
999-ACC000232-E,"Capacitor,MLCC,X5R,10uF,16V,20%,0805,SMD",,,,,,,,66,62,74,,,,7,,,,,,,,,,,,23,,,,,,,,,,,,,,,7,62
999-ACC000238-E,"Capacitor,MLCC, NPO,47pF,16V,5%,0402,SMD",,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999-ACC000304-E,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,
999-ACC000314-E,,,,,,,,,,,,,,,,,,,,,,,,,,,153,,,,,,,,,,,,,,,,
999-ACC000366-E,"Capacitor,MLCC,X5R,47uF,10V,20%,1206,SMD",,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,4,
999-ACC000367-E,"Capacitor,MLCC,X5R,4.7uF,10V,10%,0603,SMD",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999-ACC000372-E,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,
999-ACC000374-E,"Capacitor,Super capacitor,Low ESR,0.22F,5V,-20 to 80%,8.5x16.8x21.5mm,Vertical,T/H",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999-ACC000383-E,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
999-ACC000387-E,,,,,,,,,,,,,,,,,,,,,,,,,,,62,,,,,,,,,,,,,,,,
999-ACC000390-E,"Capacitor,MLCC, X7R,2.2uF,10V,10%,0603,SMD",,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,
999-ACC000403-E,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,
999-ACC315001-E,"Capacitor,MLCC, NPO,5pF,10V,5%,0603,SMD",,,,,3,3,,1,,,,,,,,,,,,,5,,,,,,,3,,,,,,,,,,,2,3,,
999-ACC315026-E,"Capacitor,MLCC, NPO,27pF,10V,5%,0603,SMD",,,,,,,,,,1,,2,,,2,,,,,,,,,,2,,,,,,2,,,,,,,,,,,
999-ACC315027-E,"Capacitor,MLCC, NPO,56pF,10V,10%,0603,SMD",,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,
999-ACC315250-E,"Capacitor,MLCC, X7R,100pF,10V,5%,0603,SMD",,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,
999-ACC315501-E,"Capacitor,MLCC, X7R,1.5nF,10V,5%,0603,SMD",,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
999-ACC315502-E,"Capacitor,MLCC, X7R,22nF,10V,5%,0603,SMD",,,,,,4,,,,3,,,,,,,,,5,,,,,,,2,,4,,,,,5,,,,2,,,,,
999-ACC315503-E,"Capacitor,MLCC, X7R,10nF,10V,10%,0603,SMD",,,,,36,,,10,,,1,1,,,1,,,,,6,38,1,1,,1,,,,,1,1,,,,6,,,,,36,,
999-ACC316026-E,"Capacitor,MLCC, NPO,47pF,10V,10%,0603,SMD",,,,,,,,,,1,,,,,,,,,,1,,,,,,3,,,,,,,,,1,,,,1,,,
999-ACC316027-E,"Capacitor,MLCC, NPO,33pF,10V,10%,0603,SMD",,,,,2,,,,1,1,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,2,1,1
999-ACC316028-E,"Capacitor,MLCC, NPO,15pF,10V,10%,0603,SMD",,,,,,4,3,,1,,,,,,,,3,,,2,4,,,,,,3,4,,,,,,,2,,,,4,,,1
999-ACC316029-E,"Capacitor,MLCC, NPO,18pF,50V,10%,0603,SMD",,,,,,2,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
999-ACC316252-E,"Capacitor,MLCC, X7R,330pF,10V,10%,0603,SMD",,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,,,
999-ACC316253-E,"Capacitor,MLCC, X7R,220pF,10V,10%,0603,SMD",,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
999-ACC316255-E,"Capacitor,MLCC, X7R,120pF,10V,10%,0603,SMD",,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
999-ACC316501-E,"Capacitor,MLCC, X7R,2.7nF,10V,10%,0603,SMD",,,,3,,,,,,,,,,,,,,3,1,,,,,,,2,,,3,,,,1,,,,2,,,,,
999-ACC316503-E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
